step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.70530292,0.62656105
2,64,0.0002,0.69678071,0.25325343
3,96,0.0003,0.69681197,0.25515741
4,128,0.0004,0.69891804,0.31848544
5,160,0.0005,0.69510388,0.20499916
6,192,0.0006,0.68989244,0.23299901
7,224,0.0007,0.69412965,0.31441745
8,256,0.0008,0.69281906,0.21930653
9,288,0.0009,0.69271153,0.20895463
10,320,0.001,0.69189799,0.20542675
11,352,0.0011,0.67151678,0.23220344
12,384,0.0012,0.67815962,0.49111927
13,416,0.0013,0.65546426,0.27307189
14,448,0.0014,0.70192704,0.27835703
15,480,0.0015,0.63089037,0.3543689
16,512,0.0016,0.69123426,0.34056962
17,544,0.0017,0.81811839,1.0333301
18,576,0.0018,0.66007066,0.35899299
19,608,0.0019,0.76216498,0.69374043
20,640,0.002,0.66058847,0.19164664
21,672,0.002,0.63806963,0.29164311
22,704,0.0019999954,0.67258161,0.20139913
23,736,0.0019999815,0.66420388,0.33536804
24,768,0.0019999584,0.70163971,0.29217535
25,800,0.001999926,0.70209271,0.29488114
26,832,0.0019998844,0.67412806,0.29228625
27,864,0.0019998335,0.66352117,0.30300748
28,896,0.0019997734,0.68282038,0.39691079
29,928,0.0019997041,0.66418907,0.21912226
30,960,0.0019996254,0.70893005,0.29568967
31,992,0.0019995376,0.6878041,0.22425476
32,1024,0.0019994405,0.69468927,0.25985146
33,1056,0.0019993342,0.6092903,0.49672765
34,1088,0.0019992186,0.66893587,0.33271554
35,1120,0.0019990938,0.68353,0.23680021
36,1152,0.0019989597,0.68570003,0.23885584
37,1184,0.0019988164,0.64983281,0.31422171
38,1216,0.0019986639,0.70674434,0.34192663
39,1248,0.0019985021,0.64698422,0.25957868
40,1280,0.0019983311,0.61262482,0.44211739
41,1312,0.0019981509,0.68329662,0.30131453
42,1344,0.0019979614,0.65621814,0.34983706
43,1376,0.0019977627,0.67592284,0.38451934
44,1408,0.0019975548,0.65896693,0.21562277
