step,windows,learning_rate,loss,grad_norm
1,32,4e-05,10.469585,2.8469713
2,64,8e-05,10.330324,3.1575778
3,96,0.00012,10.206162,2.5062277
4,128,0.00016,10.106596,1.8522648
5,160,0.0002,10.00725,1.9122466
6,192,0.00024,9.9840373,1.7404059
7,224,0.00028,9.8409762,1.8111264
8,256,0.00032,9.7795674,1.5794874
9,288,0.00036,9.5848322,1.8496643
10,320,0.0004,9.5970803,1.3961463
11,352,0.00044,9.454731,1.5438563
12,384,0.00048,9.3052204,1.5287472
13,416,0.00052,9.0858845,1.729928
14,448,0.00056,8.9404678,1.5223562
15,480,0.0006,8.655003,1.9827168
16,512,0.0006,8.6597105,1.6507702
17,544,0.00059999762,8.3515129,1.6777537
18,576,0.00059999047,8.2018622,1.5347171
19,608,0.00059997857,7.9732553,1.5798365
20,640,0.0005999619,7.8050768,1.4903833
21,672,0.00059994047,7.6173279,1.3037783
22,704,0.00059991427,7.3765752,1.6550678
23,736,0.00059988332,7.4000476,10.83718
24,768,0.00059984761,6.9854112,1.6651784
25,800,0.00059980713,6.8045573,1.579311
26,832,0.0005997619,6.7105477,1.5447717
27,864,0.0005997119,6.6021216,1.1479186
28,896,0.00059965715,6.4548503,3.0213284
29,928,0.00059959765,6.2609757,1.3449506
30,960,0.00059953338,6.163478,1.5264484
31,992,0.00059946436,6.0550844,1.2784081
32,1024,0.00059939059,5.9699617,1.1570947
33,1056,0.00059931207,5.8715566,1.25287
34,1088,0.0005992288,5.7720044,1.2680783
35,1120,0.00059914077,5.7397645,1.3343306
36,1152,0.000599048,5.670715,0.89727575
37,1184,0.00059895049,5.5788759,1.8912526
38,1216,0.00059884823,5.6120875,0.82068229
39,1248,0.00059874122,5.4384856,1.3564174
40,1280,0.00059862948,5.5024526,0.71716368
41,1312,0.000598513,5.3598421,1.2171166
42,1344,0.00059839178,5.391134,0.84079641
43,1376,0.00059826583,5.3559591,0.90287787
44,1408,0.00059813514,5.3364266,0.74528646
45,1440,0.00059799973,5.343112,0.69845587
46,1472,0.00059785958,5.2193844,1.0011504
47,1504,0.00059771472,5.3118876,0.74277282
