step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69312543,0.23876999
2,64,0.0002,0.69098055,0.15227476
3,96,0.0003,0.68999809,0.23024659
4,128,0.0004,0.68934101,0.17463796
5,160,0.0005,0.71849197,0.4603259
6,192,0.0006,0.68868208,0.27192634
7,224,0.0007,0.68332127,0.23318425
8,256,0.0008,0.68446666,0.20353509
9,288,0.0009,0.68617612,0.28115457
10,320,0.001,0.68721223,0.37455398
11,352,0.0011,0.68952075,0.37103432
12,384,0.0012,0.66710657,0.28083444
13,416,0.0013,0.66531754,0.36966205
14,448,0.0014,0.69112328,0.31614301
15,480,0.0015,0.66870192,0.47829661
16,512,0.0016,0.63731426,0.36461857
17,544,0.0017,0.66987526,0.42232439
18,576,0.0018,0.66438261,0.26475734
19,608,0.0019,0.6671547,0.2985729
20,640,0.002,0.64017406,0.3158105
21,672,0.002,0.6991213,0.33504215
22,704,0.0019999954,0.68223381,0.60972416
23,736,0.0019999815,0.68995559,0.51482356
24,768,0.0019999584,0.66035637,0.2865558
25,800,0.001999926,0.71977845,0.42571625
26,832,0.0019998844,0.55956408,0.47309613
27,864,0.0019998335,0.73173392,0.84227687
28,896,0.0019997734,0.67697498,0.37592182
29,928,0.0019997041,0.65403324,0.40904588
30,960,0.0019996254,0.70195866,0.55366153
31,992,0.0019995376,0.69112521,0.31323826
32,1024,0.0019994405,0.61239222,0.51867706
33,1056,0.0019993342,0.69628033,0.40612251
34,1088,0.0019992186,0.72745505,0.4597224
35,1120,0.0019990938,0.71547371,0.47902888
36,1152,0.0019989597,0.63446683,0.38000187
37,1184,0.0019988164,0.68635312,0.37184128
38,1216,0.0019986639,0.64378861,0.29395649
39,1248,0.0019985021,0.67975393,0.40048262
40,1280,0.0019983311,0.70370892,0.30161968
41,1312,0.0019981509,0.64376456,0.25049677
42,1344,0.0019979614,0.70571515,0.3331061
43,1376,0.0019977627,0.64208141,0.3935841
44,1408,0.0019975548,0.67833352,0.2364708
45,1440,0.0019973376,0.61207622,0.47271952
46,1472,0.0019971113,0.69720969,0.26692563
47,1504,0.0019968757,0.6705972,0.22472283
48,1536,0.0019966309,0.62857705,0.4248971
49,1568,0.0019963769,0.67103225,0.22818492
50,1600,0.0019961136,0.6386795,0.29385957
51,1632,0.0019958412,0.66719607,0.18638167
52,1664,0.0019955596,0.74817926,0.51115668
53,1696,0.0019952687,0.70210871,0.31388158
54,1728,0.0019949687,0.61924323,0.40846217
55,1760,0.0019946594,0.69311392,0.63049173
56,1792,0.001994341,0.64076677,0.42330021
57,1824,0.0019940134,0.66773224,0.42423528
58,1856,0.0019936765,0.6762664,0.39912117
59,1888,0.0019933305,0.62072703,0.33511877
60,1920,0.0019929754,0.68966773,0.57803583
61,1952,0.001992611,0.66880837,0.27594849
62,1984,0.0019922375,0.56119901,0.59171814
63,2016,0.0019918548,0.68247154,0.36190066
64,2048,0.0019914629,0.62777871,0.27857864
65,2080,0.0019910619,0.5834876,0.42271322
66,2112,0.0019906517,0.74155343,0.80025083
67,2144,0.0019902324,0.6701898,0.29056302
68,2176,0.0019898039,0.62103635,0.2970998
69,2208,0.0019893663,0.68590438,0.49965832
70,2240,0.0019889195,0.62618306,0.36361936
71,2272,0.0019884636,0.5986608,0.3796601
72,2304,0.0019879986,0.58693829,0.50045955
73,2336,0.0019875244,0.68564096,0.35149696
74,2368,0.0019870411,0.72902179,0.66736192
75,2400,0.0019865487,0.67027429,0.28323925
76,2432,0.0019860472,0.73227391,0.60336357
77,2464,0.0019855366,0.67623451,0.51248831
78,2496,0.0019850169,0.67024863,0.44369331
79,2528,0.0019844881,0.69152778,0.37384799
80,2560,0.0019839502,0.6627368,0.29255751
81,2592,0.0019834032,0.66482332,0.33836344
82,2624,0.0019828472,0.62567112,0.44036683
83,2656,0.0019822821,0.65269867,0.224336
84,2688,0.0019817079,0.65859634,0.20517527
85,2720,0.0019811246,0.69679031,0.31127727
86,2752,0.0019805323,0.69376111,0.45881471
87,2784,0.0019799309,0.70914006,0.41391316
88,2816,0.0019793205,0.65529484,0.26309174
89,2848,0.0019787011,0.63432327,0.40934283
90,2880,0.0019780726,0.62086898,0.42698541
91,2912,0.0019774351,0.6618565,0.38800946
92,2944,0.0019767886,0.69061387,0.28120053
93,2976,0.0019761331,0.71152055,0.38503957
94,3008,0.0019754686,0.63645798,0.2972286
95,3040,0.001974795,0.62073433,0.41287243
96,3072,0.0019741125,0.76298004,0.75739956
97,3104,0.001973421,0.68573934,0.31423005
98,3136,0.0019727206,0.71225905,0.37728238
99,3168,0.0019720111,0.70168838,0.39348167
100,3200,0.0019712927,0.65734559,0.35655734
101,3232,0.0019705654,0.60470417,0.56803799
102,3264,0.0019698291,0.65363479,0.37248814
103,3296,0.0019690838,0.64641204,0.38659239
104,3328,0.0019683297,0.68816954,0.45400944
105,3360,0.0019675666,0.61014232,0.56368893
106,3392,0.0019667946,0.64238265,0.30958325
107,3424,0.0019660136,0.64613214,0.33362705
108,3456,0.0019652238,0.66861302,0.17878677
109,3488,0.0019644251,0.64544472,0.34715387
110,3520,0.0019636175,0.63729009,0.25322989
111,3552,0.0019628011,0.64397535,0.34320933
112,3584,0.0019619757,0.68233505,0.33605269
113,3616,0.0019611415,0.62093914,0.27910179
114,3648,0.0019602985,0.65126085,0.36081287
115,3680,0.0019594466,0.64377281,0.36236137
116,3712,0.0019585859,0.56079981,0.42069197
117,3744,0.0019577164,0.71711162,1.0107415
118,3776,0.001956838,0.66842806,0.57049823
119,3808,0.0019559509,0.58714116,0.56576777
120,3840,0.0019550549,0.57612333,0.51232058
121,3872,0.0019541502,0.67531329,1.2343658
122,3904,0.0019532367,0.52650054,0.81275529
123,3936,0.0019523144,0.69685155,0.37811357
124,3968,0.0019513833,0.64260599,0.62514687
125,4000,0.0019504435,0.65625247,0.55274838
126,4032,0.001949495,0.77404952,1.0284746
127,4064,0.0019485377,0.52406031,0.47190386
128,4096,0.0019475718,0.75753084,0.95260668
129,4128,0.0019465971,0.55327553,0.51612532
130,4160,0.0019456137,0.64058319,0.59030563
131,4192,0.0019446216,0.6069864,0.45069894
132,4224,0.0019436208,0.64464012,0.35379896
133,4256,0.0019426114,0.59829408,0.90279174
134,4288,0.0019415933,0.63124502,0.59191436
135,4320,0.0019405666,0.7303538,0.72757512
136,4352,0.0019395312,0.60653964,0.56083882
137,4384,0.0019384872,0.61474857,0.54712075
138,4416,0.0019374345,0.63303882,0.45448285
139,4448,0.0019363733,0.57976371,0.79216075
140,4480,0.0019353035,0.62319776,0.52076232
141,4512,0.0019342251,0.6080088,0.73847413
142,4544,0.0019331381,0.67633224,0.42185804
143,4576,0.0019320426,0.59651574,0.38157409
144,4608,0.0019309385,0.66703904,0.79490137
145,4640,0.0019298258,0.71476755,0.76021963
146,4672,0.0019287047,0.6195167,0.3262248
147,4704,0.001927575,0.60827333,0.37408319
148,4736,0.0019264368,0.73809439,0.70538086
149,4768,0.0019252901,0.59202152,0.40771466
150,4800,0.001924135,0.61300249,0.48764157
151,4832,0.0019229714,0.61985639,0.56755477
152,4864,0.0019217993,0.56706631,0.53467882
153,4896,0.0019206188,0.57747295,0.48254415
154,4928,0.0019194298,0.69375637,0.52591324
155,4960,0.0019182324,0.64565393,0.42319417
156,4992,0.0019170266,0.76285103,0.9131552
157,5024,0.0019158124,0.69381848,1.055993
158,5056,0.0019145899,0.76480857,0.7849533
159,5088,0.0019133589,0.70701894,0.430318
160,5120,0.0019121196,0.6352284,0.69012463
161,5152,0.001910872,0.69109738,0.26571786
162,5184,0.001909616,0.67672724,0.30372301
163,5216,0.0019083517,0.63533282,0.34675515
164,5248,0.0019070791,0.67977002,0.36662313
165,5280,0.0019057982,0.65265039,0.3735112
166,5312,0.001904509,0.64055002,0.36635154
167,5344,0.0019032116,0.64078346,0.59890544
168,5376,0.0019019059,0.6447244,0.24824011
169,5408,0.0019005919,0.62671658,0.42612562
170,5440,0.0018992698,0.64179423,0.38969833
171,5472,0.0018979394,0.6278044,0.56987077
172,5504,0.0018966008,0.64181972,0.43201578
173,5536,0.001895254,0.69341925,0.31776801
174,5568,0.0018938991,0.63563377,0.34062168
175,5600,0.001892536,0.64721629,0.24615435
176,5632,0.0018911647,0.67958638,0.25068945
177,5664,0.0018897854,0.65868923,0.27920231
178,5696,0.0018883979,0.67024246,0.47004649
179,5728,0.0018870023,0.67958349,0.30132014
180,5760,0.0018855986,0.64977041,0.37191093
181,5792,0.0018841868,0.63389271,0.53811252
182,5824,0.001882767,0.71165645,0.46061337
183,5856,0.0018813392,0.70490217,0.61128616
184,5888,0.0018799033,0.63342237,0.3754366
185,5920,0.0018784594,0.71519601,0.5218209
186,5952,0.0018770075,0.65417799,0.27936679
187,5984,0.0018755476,0.69695428,0.40281481
188,6016,0.0018740797,0.72463354,1.1276921
