step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69879949,0.475968
2,64,0.0002,0.69431236,0.35005379
3,96,0.0003,0.69247252,0.29832652
4,128,0.0004,0.7007494,0.4556351
5,160,0.0005,0.69203985,0.2972298
6,192,0.0006,0.69838315,0.29782426
7,224,0.0007,0.6875599,0.26591447
8,256,0.0008,0.70181072,0.33418891
9,288,0.0009,0.68354401,0.29363987
10,320,0.001,0.68802312,0.3393167
11,352,0.0011,0.67860302,0.31908444
12,384,0.0012,0.68512407,0.30025443
13,416,0.0013,0.6855025,0.33093017
14,448,0.0014,0.66118315,0.38720721
15,480,0.0015,0.69530052,0.30896947
16,512,0.0016,0.72857594,0.41855896
17,544,0.0017,0.69455698,0.33554238
18,576,0.0018,0.66794899,0.35796785
19,608,0.0019,0.74937734,0.5378499
20,640,0.002,0.70488095,0.37380531
21,672,0.002,0.62448263,0.48793924
22,704,0.0019999954,0.6537334,0.34537289
23,736,0.0019999815,0.67862684,0.37858686
24,768,0.0019999584,0.71764281,0.56850404
25,800,0.001999926,0.69706988,0.3093473
26,832,0.0019998844,0.71121648,0.34283054
27,864,0.0019998335,0.69189012,0.34926337
28,896,0.0019997734,0.65269196,0.32893765
29,928,0.0019997041,0.69513929,0.39608258
30,960,0.0019996254,0.69105065,0.36371616
31,992,0.0019995376,0.69447473,0.33056983
32,1024,0.0019994405,0.68603742,0.49802384
33,1056,0.0019993342,0.73823854,0.51182014
34,1088,0.0019992186,0.70140827,0.35005951
35,1120,0.0019990938,0.65931326,0.43801323
36,1152,0.0019989597,0.66736487,0.31968948
37,1184,0.0019988164,0.652843,0.28784367
38,1216,0.0019986639,0.70974475,0.35537797
39,1248,0.0019985021,0.72482967,0.43043771
40,1280,0.0019983311,0.65554994,0.32791457
41,1312,0.0019981509,0.68297553,0.2862775
42,1344,0.0019979614,0.71435255,0.40684658
43,1376,0.0019977627,0.65399691,0.32589427
44,1408,0.0019975548,0.70527649,0.3234967
45,1440,0.0019973376,0.69649339,0.26083022
46,1472,0.0019971113,0.65483743,0.36025566
47,1504,0.0019968757,0.71762013,0.52890623
48,1536,0.0019966309,0.66977218,0.28151095
49,1568,0.0019963769,0.69350603,0.30162579
50,1600,0.0019961136,0.66455239,0.3214702
51,1632,0.0019958412,0.64793959,0.35905495
52,1664,0.0019955596,0.68193042,0.30224788
53,1696,0.0019952687,0.72462723,0.41485211
54,1728,0.0019949687,0.6911177,0.25364316
