step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69314718,0.097971268
2,64,0.0002,0.6931521,0.14041273
3,96,0.0003,0.69313541,0.057393994
4,128,0.0004,0.69305894,0.18630558
5,160,0.0005,0.69316325,0.058325347
6,192,0.0006,0.69289419,0.090005167
7,224,0.0007,0.69272295,0.28141791
8,256,0.0008,0.69286725,0.067323551
9,288,0.0009,0.69253364,0.24016881
10,320,0.001,0.69431329,0.32811207
11,352,0.0011,0.69277334,0.094445102
12,384,0.0012,0.69209227,0.08012455
13,416,0.0013,0.69133377,0.098373987
14,448,0.0014,0.69303349,0.061392318
15,480,0.0015,0.69121507,0.083654359
16,512,0.0016,0.68967074,0.10628634
17,544,0.0017,0.69230419,0.084056839
18,576,0.0018,0.69222319,0.14229611
19,608,0.0019,0.69080508,0.23133089
20,640,0.002,0.69027701,0.21923003
21,672,0.002,0.69141576,0.14679758
22,704,0.0019999954,0.69363979,0.13830064
23,736,0.0019999815,0.69031438,0.07118658
24,768,0.0019999584,0.69174129,0.16915123
25,800,0.001999926,0.68805295,0.13210103
26,832,0.0019998844,0.68667951,0.10223979
27,864,0.0019998335,0.69206476,0.090463698
28,896,0.0019997734,0.69097161,0.071895257
29,928,0.0019997041,0.68857792,0.27258983
30,960,0.0019996254,0.69063196,0.32406208
31,992,0.0019995376,0.68526077,0.079273731
32,1024,0.0019994405,0.67882061,0.20206372
33,1056,0.0019993342,0.68659341,0.12536404
34,1088,0.0019992186,0.68481809,0.12541516
35,1120,0.0019990938,0.69126433,0.18691516
36,1152,0.0019989597,0.68396693,0.10952315
37,1184,0.0019988164,0.68207583,0.25801882
38,1216,0.0019986639,0.68359873,0.33937913
39,1248,0.0019985021,0.67965209,0.22086369
40,1280,0.0019983311,0.69057488,0.22882113
41,1312,0.0019981509,0.68009046,0.21133594
42,1344,0.0019979614,0.69178092,0.070341937
43,1376,0.0019977627,0.68435636,0.082655832
44,1408,0.0019975548,0.68885529,0.093474373
45,1440,0.0019973376,0.67467052,0.17070082
46,1472,0.0019971113,0.68444291,0.089380361
47,1504,0.0019968757,0.69556922,0.22537945
48,1536,0.0019966309,0.67668161,0.19348317
49,1568,0.0019963769,0.68379039,0.12187292
50,1600,0.0019961136,0.67609733,0.19374499
51,1632,0.0019958412,0.66486657,0.25437915
52,1664,0.0019955596,0.68392995,0.12558122
53,1696,0.0019952687,0.69173285,0.38863707
54,1728,0.0019949687,0.68321899,0.094291657
55,1760,0.0019946594,0.68193448,0.062448442
56,1792,0.001994341,0.67865106,0.096189678
57,1824,0.0019940134,0.68224251,0.1145055
58,1856,0.0019936765,0.6804494,0.053316686
59,1888,0.0019933305,0.67363486,0.15515344
60,1920,0.0019929754,0.6796588,0.16166891
61,1952,0.001992611,0.68290326,0.082701512
62,1984,0.0019922375,0.6610581,0.33856583
63,2016,0.0019918548,0.68221578,0.065484576
64,2048,0.0019914629,0.69786161,0.096392334
65,2080,0.0019910619,0.66882196,0.12525268
66,2112,0.0019906517,0.67321128,0.079919256
67,2144,0.0019902324,0.67564192,0.18255465
68,2176,0.0019898039,0.65837488,0.14933716
69,2208,0.0019893663,0.67480806,0.080696136
70,2240,0.0019889195,0.66344941,0.092111461
71,2272,0.0019884636,0.67997101,0.12286802
72,2304,0.0019879986,0.67418483,0.11648898
73,2336,0.0019875244,0.68133482,0.14111957
74,2368,0.0019870411,0.67757311,0.11376637
75,2400,0.0019865487,0.69832191,0.078437805
76,2432,0.0019860472,0.69317698,0.22754431
77,2464,0.0019855366,0.66969216,0.068033613
78,2496,0.0019850169,0.66434467,0.17935687
79,2528,0.0019844881,0.6647287,0.17343485
80,2560,0.0019839502,0.68645144,0.067510545
81,2592,0.0019834032,0.66687146,0.14379299
82,2624,0.0019828472,0.68268982,0.10917851
83,2656,0.0019822821,0.67896956,0.071298718
84,2688,0.0019817079,0.68653965,0.11448745
85,2720,0.0019811246,0.68672019,0.21201319
86,2752,0.0019805323,0.71055821,0.34165573
87,2784,0.0019799309,0.7025457,0.058148582
88,2816,0.0019793205,0.66641554,0.093396761
89,2848,0.0019787011,0.68847775,0.088444322
90,2880,0.0019780726,0.68546391,0.085412964
91,2912,0.0019774351,0.65015188,0.11118185
92,2944,0.0019767886,0.67350334,0.13056488
93,2976,0.0019761331,0.69775429,0.09473291
94,3008,0.0019754686,0.68390527,0.17650925
95,3040,0.001974795,0.63161016,0.32360131
96,3072,0.0019741125,0.69632909,0.082446419
97,3104,0.001973421,0.71202123,0.13891536
98,3136,0.0019727206,0.6944055,0.13154513
99,3168,0.0019720111,0.68893483,0.058624364
100,3200,0.0019712927,0.64631554,0.15205275
101,3232,0.0019705654,0.66315559,0.084467068
102,3264,0.0019698291,0.6863988,0.067399956
103,3296,0.0019690838,0.65669093,0.22942874
104,3328,0.0019683297,0.67565873,0.11028095
105,3360,0.0019675666,0.63535336,0.18492994
106,3392,0.0019667946,0.66346064,0.13641423
107,3424,0.0019660136,0.67009744,0.1444378
