step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69314718,0.0051591694
2,64,0.0002,0.69314539,0.025639459
3,96,0.0003,0.69314441,0.0053151683
4,128,0.0004,0.69308701,0.063187271
5,160,0.0005,0.69319251,0.032272808
6,192,0.0006,0.69320583,0.035855941
7,224,0.0007,0.69318625,0.020403214
8,256,0.0008,0.69308871,0.015916236
9,288,0.0009,0.69320765,0.044296488
10,320,0.001,0.6930497,0.053087864
11,352,0.0011,0.69316211,0.012409192
12,384,0.0012,0.69310477,0.0076717907
13,416,0.0013,0.69309953,0.036793206
14,448,0.0014,0.69310737,0.013764591
15,480,0.0015,0.69310635,0.068203516
16,512,0.0016,0.69309986,0.0073079481
17,544,0.0017,0.69310629,0.018557262
18,576,0.0018,0.69305992,0.021982919
19,608,0.0019,0.69297943,0.0086745862
20,640,0.002,0.69271359,0.056534465
21,672,0.002,0.69297123,0.015537568
22,704,0.0019999954,0.69330877,0.014529965
23,736,0.0019999815,0.69247276,0.034123857
24,768,0.0019999584,0.69304416,0.0062717996
25,800,0.001999926,0.69315973,0.0037736562
26,832,0.0019998844,0.69176733,0.052930493
27,864,0.0019998335,0.69298354,0.0071574836
28,896,0.0019997734,0.69248021,0.017927878
29,928,0.0019997041,0.69137961,0.049316756
30,960,0.0019996254,0.69341117,0.012720809
31,992,0.0019995376,0.69180861,0.033125296
32,1024,0.0019994405,0.69234601,0.014200965
33,1056,0.0019993342,0.69189903,0.023899451
34,1088,0.0019992186,0.6924738,0.012053302
35,1120,0.0019990938,0.69151968,0.025203915
36,1152,0.0019989597,0.69199869,0.013209162
37,1184,0.0019988164,0.68800527,0.075041257
38,1216,0.0019986639,0.688456,0.071165398
39,1248,0.0019985021,0.69703346,0.060284659
40,1280,0.0019983311,0.69374663,0.020808
41,1312,0.0019981509,0.69474119,0.031372141
42,1344,0.0019979614,0.69261381,0.00565523
43,1376,0.0019977627,0.68393725,0.11283781
44,1408,0.0019975548,0.69206101,0.010380036
