step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69314718,0.098235764
2,64,0.0002,0.69314933,0.14400563
3,96,0.0003,0.69313145,0.059083346
4,128,0.0004,0.69299349,0.19841911
5,160,0.0005,0.69320366,0.067003332
6,192,0.0006,0.69290525,0.097161524
7,224,0.0007,0.69277322,0.28272066
8,256,0.0008,0.69274616,0.072642885
9,288,0.0009,0.69264543,0.2443933
10,320,0.001,0.69412786,0.33284974
11,352,0.0011,0.69282618,0.095283248
12,384,0.0012,0.69201666,0.080669269
13,416,0.0013,0.69126156,0.10433886
14,448,0.0014,0.69284421,0.06252978
15,480,0.0015,0.69108319,0.10843933
16,512,0.0016,0.68968859,0.10692637
17,544,0.0017,0.69224244,0.086548679
18,576,0.0018,0.69211951,0.14443274
19,608,0.0019,0.69074261,0.23179236
20,640,0.002,0.68968719,0.22517356
21,672,0.002,0.69106707,0.14804071
22,704,0.0019999954,0.6937111,0.13934284
23,736,0.0019999815,0.68975276,0.079662345
24,768,0.0019999584,0.69158792,0.16996238
25,800,0.001999926,0.68799102,0.13184792
26,832,0.0019998844,0.68521613,0.11392496
27,864,0.0019998335,0.69189328,0.090387397
28,896,0.0019997734,0.69037881,0.076016307
29,928,0.0019997041,0.68691438,0.27506727
30,960,0.0019996254,0.69088903,0.32332864
31,992,0.0019995376,0.6845212,0.082211718
32,1024,0.0019994405,0.67754525,0.20233227
33,1056,0.0019993342,0.68537125,0.12523475
34,1088,0.0019992186,0.68383679,0.12489001
35,1120,0.0019990938,0.68972975,0.18863156
36,1152,0.0019989597,0.68313286,0.10924195
37,1184,0.0019988164,0.67700389,0.26711169
38,1216,0.0019986639,0.67935836,0.34355152
39,1248,0.0019985021,0.6831758,0.2308147
40,1280,0.0019983311,0.69121873,0.23039216
41,1312,0.0019981509,0.68158332,0.21209832
42,1344,0.0019979614,0.69085377,0.068896934
43,1376,0.0019977627,0.67593986,0.13514517
44,1408,0.0019975548,0.68837172,0.096137509
45,1440,0.0019973376,0.66520637,0.20398045
46,1472,0.0019971113,0.68348938,0.089262672
47,1504,0.0019968757,0.69571576,0.23000036
48,1536,0.0019966309,0.6738089,0.19345492
49,1568,0.0019963769,0.68317598,0.12512168
50,1600,0.0019961136,0.67221954,0.19672565
51,1632,0.0019958412,0.66195208,0.25117588
52,1664,0.0019955596,0.68704262,0.12874933
53,1696,0.0019952687,0.69238159,0.39031544
54,1728,0.0019949687,0.68073842,0.094273463
55,1760,0.0019946594,0.68423268,0.068760484
56,1792,0.001994341,0.67036694,0.11204662
57,1824,0.0019940134,0.67541429,0.12686342
58,1856,0.0019936765,0.67861265,0.058052465
59,1888,0.0019933305,0.6686635,0.15875989
60,1920,0.0019929754,0.67426774,0.17216694
61,1952,0.001992611,0.67626768,0.089635111
62,1984,0.0019922375,0.65581539,0.33805028
63,2016,0.0019918548,0.68151924,0.073374212
64,2048,0.0019914629,0.68873706,0.11826445
65,2080,0.0019910619,0.65683818,0.13838598
66,2112,0.0019906517,0.67973769,0.09088587
67,2144,0.0019902324,0.67407191,0.1798379
68,2176,0.0019898039,0.65868688,0.14709482
69,2208,0.0019893663,0.6841419,0.12146229
70,2240,0.0019889195,0.65757024,0.097717091
71,2272,0.0019884636,0.67699182,0.11836676
72,2304,0.0019879986,0.66762203,0.12158126
73,2336,0.0019875244,0.67674729,0.14802109
74,2368,0.0019870411,0.68611613,0.12753795
75,2400,0.0019865487,0.69397232,0.084459171
76,2432,0.0019860472,0.69349015,0.23221426
77,2464,0.0019855366,0.66199797,0.079734392
78,2496,0.0019850169,0.66637558,0.17887624
79,2528,0.0019844881,0.6612221,0.16897853
80,2560,0.0019839502,0.68341869,0.068755262
81,2592,0.0019834032,0.66868496,0.15228626
82,2624,0.0019828472,0.68208027,0.11154532
83,2656,0.0019822821,0.67788312,0.072651148
84,2688,0.0019817079,0.68744048,0.11587593
85,2720,0.0019811246,0.68131462,0.21021374
86,2752,0.0019805323,0.71287009,0.3470512
87,2784,0.0019799309,0.70415196,0.059679382
88,2816,0.0019793205,0.66620663,0.0931651
89,2848,0.0019787011,0.68735471,0.089468174
90,2880,0.0019780726,0.67680296,0.098735973
91,2912,0.0019774351,0.64573807,0.11234815
92,2944,0.0019767886,0.67589906,0.12901889
93,2976,0.0019761331,0.70462123,0.10606597
94,3008,0.0019754686,0.6793794,0.1822719
95,3040,0.001974795,0.62671909,0.31936938
96,3072,0.0019741125,0.70804915,0.10892207
97,3104,0.001973421,0.71123484,0.14104114
98,3136,0.0019727206,0.7024366,0.14825295
99,3168,0.0019720111,0.69313809,0.066644356
100,3200,0.0019712927,0.63676259,0.16169706
101,3232,0.0019705654,0.65568691,0.093633771
102,3264,0.0019698291,0.67210901,0.10434847
103,3296,0.0019690838,0.65186837,0.22832316
104,3328,0.0019683297,0.66798908,0.12164295
105,3360,0.0019675666,0.63188225,0.18200733
106,3392,0.0019667946,0.66597736,0.13381439
107,3424,0.0019660136,0.66658551,0.14888686
108,3456,0.0019652238,0.70979059,0.26392314
109,3488,0.0019644251,0.66997433,0.13146958
