step,windows,learning_rate,loss,grad_norm
1,32,4e-05,10.460373,3.2725251
2,64,8e-05,10.315163,3.5227919
3,96,0.00012,10.19798,2.4366605
4,128,0.00016,10.043753,2.0041757
5,160,0.0002,9.9595717,1.784626
6,192,0.00024,9.9255513,1.6448572
7,224,0.00028,9.8911021,1.5250702
8,256,0.00032,9.7179915,1.8382946
9,288,0.00036,9.6907951,1.6584305
10,320,0.0004,9.5219606,1.6197942
11,352,0.00044,9.3773185,1.6352011
12,384,0.00048,9.1992247,1.7309312
13,416,0.00052,8.9985975,1.8337537
14,448,0.00056,8.8839923,1.6746861
15,480,0.0006,8.769673,1.5035489
16,512,0.0006,8.5560335,1.5141729
17,544,0.00059999762,8.3295777,1.4772367
18,576,0.00059999047,8.1390469,1.4610462
19,608,0.00059997857,7.9380563,1.4254538
20,640,0.0005999619,7.5859017,1.9390458
21,672,0.00059994047,7.3991755,1.8764538
22,704,0.00059991427,7.2501097,1.8448942
23,736,0.00059988332,7.0716922,1.6174803
24,768,0.00059984761,6.8680801,1.5730531
25,800,0.00059980713,6.7431798,1.4478076
26,832,0.0005997619,6.5579645,1.5905904
27,864,0.0005997119,6.4084551,1.4033968
28,896,0.00059965715,6.1956515,1.5360738
29,928,0.00059959765,6.0578057,1.4290164
30,960,0.00059953338,5.9828154,1.2374955
31,992,0.00059946436,5.8313454,1.3201839
32,1024,0.00059939059,5.6804994,1.5616513
33,1056,0.00059931207,5.6511093,1.379968
34,1088,0.0005992288,5.3976232,1.9334393
35,1120,0.00059914077,5.5211159,1.1637706
36,1152,0.000599048,5.330326,1.5683688
37,1184,0.00059895049,5.3734581,1.240501
38,1216,0.00059884823,5.3708602,1.0934958
39,1248,0.00059874122,5.331822,1.067425
40,1280,0.00059862948,5.2731045,1.1005417
41,1312,0.000598513,5.3339405,0.86866248
42,1344,0.00059839178,5.261761,0.94155204
43,1376,0.00059826583,5.2279643,0.98223615
44,1408,0.00059813514,5.2427025,0.96489733
45,1440,0.00059799973,5.1584985,1.0350372
