step,windows,learning_rate,loss,grad_norm
1,32,4e-05,10.457893,2.6818726
2,64,8e-05,10.365271,2.4982285
3,96,0.00012,10.205008,2.1803856
4,128,0.00016,10.119969,1.6562978
5,160,0.0002,10.039454,1.5544927
6,192,0.00024,10.044264,1.3280839
7,224,0.00028,9.8741026,1.5064688
8,256,0.00032,9.8276732,1.3929639
9,288,0.00036,9.7529699,1.4688426
10,320,0.0004,9.7020673,1.3943499
11,352,0.00044,9.5972002,1.2695863
12,384,0.00048,9.4514377,1.3073075
13,416,0.00052,9.2882107,1.3503664
14,448,0.00056,9.0922595,1.463866
15,480,0.0006,9.0279973,1.1992279
16,512,0.0006,8.8642073,2.158829
17,544,0.00059999762,8.7142088,1.1809292
18,576,0.00059999047,8.4817702,1.3153595
19,608,0.00059997857,8.356367,1.1343172
20,640,0.0005999619,8.1240415,1.2594521
21,672,0.00059994047,8.0084484,1.0722133
22,704,0.00059991427,7.8329515,1.2478633
23,736,0.00059988332,7.655947,1.2347333
24,768,0.00059984761,7.594985,1.0003293
25,800,0.00059980713,7.3642597,1.1136178
26,832,0.0005997619,7.2585105,5.7647629
27,864,0.0005997119,7.0747551,1.4555135
28,896,0.00059965715,6.9563786,1.0441716
29,928,0.00059959765,6.9393224,0.98776281
30,960,0.00059953338,6.7440671,0.95834893
31,992,0.00059946436,6.6199213,1.0216571
32,1024,0.00059939059,6.6084443,1.0410192
33,1056,0.00059931207,6.4846693,0.96141171
34,1088,0.0005992288,6.4586304,0.9850229
35,1120,0.00059914077,6.2992477,1.1662118
36,1152,0.000599048,6.1992903,1.2122172
37,1184,0.00059895049,6.3007804,0.94000155
38,1216,0.00059884823,6.2080212,1.4495145
39,1248,0.00059874122,6.2410896,0.75803941
40,1280,0.00059862948,5.9923394,1.1987259
41,1312,0.000598513,5.9848289,0.87648767
42,1344,0.00059839178,5.9891371,1.0052364
43,1376,0.00059826583,5.9172844,0.88250715
44,1408,0.00059813514,5.9895467,0.76993304
45,1440,0.00059799973,5.8756493,0.96316588
46,1472,0.00059785958,5.8576088,1.2667053
47,1504,0.00059771472,5.9663639,0.67065996
48,1536,0.00059756513,5.7263001,1.1151903
49,1568,0.00059741082,5.9472327,0.8992101
50,1600,0.00059725179,5.7752661,0.74595356
51,1632,0.00059708805,5.7688829,1.004715
52,1664,0.0005969196,5.819981,0.60947847
53,1696,0.00059674643,5.7374311,1.1401385
54,1728,0.00059656857,5.8337027,0.63971728
55,1760,0.000596386,5.582786,1.0056756
56,1792,0.00059619873,5.6662247,0.67561752
57,1824,0.00059600677,5.7509511,0.74649853
58,1856,0.00059581011,5.5744567,0.64256328
59,1888,0.00059560877,5.8483994,0.75820535
60,1920,0.00059540274,5.5688209,0.61167389
61,1952,0.00059519203,5.6251884,0.66676319
62,1984,0.00059497664,5.7546674,0.49598929
63,2016,0.00059475657,5.6484296,0.65104556
64,2048,0.00059453184,5.5152735,0.61133462
65,2080,0.00059430244,5.4539574,0.6665585
66,2112,0.00059406837,5.6766862,0.3958146
67,2144,0.00059382965,5.6638697,0.34497896
68,2176,0.00059358628,5.5559951,0.53507352
69,2208,0.00059333825,5.35675,0.80165774
70,2240,0.00059308559,5.6188087,0.4988589
71,2272,0.00059282827,5.453613,0.47731376
72,2304,0.00059256633,5.6732078,1.5427673
73,2336,0.00059229975,5.625951,0.6278128
74,2368,0.00059202854,5.5710301,0.44511387
75,2400,0.00059175272,5.3909897,0.56458938
76,2432,0.00059147227,5.4653526,0.53381455
77,2464,0.00059118722,5.6922659,0.52607024
78,2496,0.00059089755,5.4517518,0.50718296
79,2528,0.00059060328,5.7476288,0.443344
80,2560,0.00059030442,5.3053728,0.81270474
