step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69246951,0.16378915
2,64,0.0002,0.6938678,0.093928814
3,96,0.0003,0.69163623,0.13723736
4,128,0.0004,0.6930514,0.086578779
5,160,0.0005,0.69880176,0.18624328
6,192,0.0006,0.69105601,0.14530104
7,224,0.0007,0.68958771,0.1381509
8,256,0.0008,0.68986958,0.11404957
9,288,0.0009,0.69155437,0.16775453
10,320,0.001,0.69776899,0.21240111
11,352,0.0011,0.68673983,0.18647902
12,384,0.0012,0.68002677,0.17486294
13,416,0.0013,0.67399374,0.18651102
14,448,0.0014,0.6923885,0.13720168
15,480,0.0015,0.70602006,0.30388749
16,512,0.0016,0.6457327,0.27348289
17,544,0.0017,0.69372782,0.20525283
18,576,0.0018,0.68149272,0.14600399
19,608,0.0019,0.68606114,0.15609764
20,640,0.002,0.66328925,0.22123063
21,672,0.002,0.6993852,0.14522614
22,704,0.0019999954,0.69059584,0.2006695
23,736,0.0019999815,0.68006569,0.215468
24,768,0.0019999584,0.72534269,0.34043133
25,800,0.001999926,0.67988139,0.17298469
26,832,0.0019998844,0.66115788,0.21836059
27,864,0.0019998335,0.7182591,0.23530622
28,896,0.0019997734,0.67285642,0.1402079
29,928,0.0019997041,0.65918648,0.20648991
30,960,0.0019996254,0.69316995,0.16161081
31,992,0.0019995376,0.6675581,0.15888053
32,1024,0.0019994405,0.5936127,0.46580482
33,1056,0.0019993342,0.68986419,0.18113415
34,1088,0.0019992186,0.68883759,0.21327445
35,1120,0.0019990938,0.72582573,0.30874872
36,1152,0.0019989597,0.69416595,0.39750376
37,1184,0.0019988164,0.6464943,0.22081055
38,1216,0.0019986639,0.68556458,0.33195072
39,1248,0.0019985021,0.67298841,0.18250167
40,1280,0.0019983311,0.71317938,0.30159244
41,1312,0.0019981509,0.65913332,0.18304865
42,1344,0.0019979614,0.68875545,0.19896691
43,1376,0.0019977627,0.67119375,0.29201666
44,1408,0.0019975548,0.64194962,0.24536537
45,1440,0.0019973376,0.6230289,0.29824215
46,1472,0.0019971113,0.66277033,0.28466618
47,1504,0.0019968757,0.7062273,0.26913732
48,1536,0.0019966309,0.64669812,0.33180159
49,1568,0.0019963769,0.68811077,0.25267014
50,1600,0.0019961136,0.64464453,0.18087173
51,1632,0.0019958412,0.6454958,0.28311646
52,1664,0.0019955596,0.74257699,0.46382827
53,1696,0.0019952687,0.73616427,0.41922411
54,1728,0.0019949687,0.65764362,0.40773228
55,1760,0.0019946594,0.70940661,0.42975762
56,1792,0.001994341,0.71758127,0.44040731
57,1824,0.0019940134,0.66458017,0.27489436
58,1856,0.0019936765,0.66355312,0.23051339
59,1888,0.0019933305,0.64821094,0.20718266
60,1920,0.0019929754,0.69321331,0.34290221
61,1952,0.001992611,0.6698893,0.20870444
62,1984,0.0019922375,0.61592722,0.29448116
63,2016,0.0019918548,0.69171518,0.20810677
64,2048,0.0019914629,0.64871886,0.18335575
65,2080,0.0019910619,0.63833311,0.22730082
66,2112,0.0019906517,0.70571262,0.29596567
67,2144,0.0019902324,0.6407252,0.25005871
68,2176,0.0019898039,0.59392169,0.33961964
69,2208,0.0019893663,0.70038497,0.36002082
70,2240,0.0019889195,0.61294484,0.24935374
71,2272,0.0019884636,0.64232859,0.22291625
72,2304,0.0019879986,0.61026818,0.36207196
73,2336,0.0019875244,0.68490559,0.24771546
74,2368,0.0019870411,0.74710003,0.61228669
75,2400,0.0019865487,0.73395741,0.55506092
76,2432,0.0019860472,0.68451494,0.22620249
77,2464,0.0019855366,0.65228125,0.20185025
78,2496,0.0019850169,0.68510669,0.45927224
79,2528,0.0019844881,0.66186649,0.23931168
80,2560,0.0019839502,0.70503357,0.31313002
81,2592,0.0019834032,0.6699965,0.15873134
82,2624,0.0019828472,0.67342421,0.2044993
83,2656,0.0019822821,0.64438868,0.24828565
84,2688,0.0019817079,0.65014723,0.25126612
