step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.68880659,0.38607419
2,64,0.0002,0.69760013,0.25773057
3,96,0.0003,0.69587258,0.2043294
4,128,0.0004,0.69376931,0.2065926
5,160,0.0005,0.69222787,0.21888047
6,192,0.0006,0.69515401,0.15843216
7,224,0.0007,0.68479872,0.30406794
8,256,0.0008,0.70102358,0.19606544
9,288,0.0009,0.68905216,0.16236441
10,320,0.001,0.70219091,0.22245589
11,352,0.0011,0.68151268,0.15196478
12,384,0.0012,0.71685895,0.36263382
13,416,0.0013,0.6857515,0.2290141
14,448,0.0014,0.69829303,0.2263611
15,480,0.0015,0.70474452,0.24664253
16,512,0.0016,0.70270663,0.23835099
17,544,0.0017,0.70932043,0.23212655
18,576,0.0018,0.67854422,0.15652506
19,608,0.0019,0.72807869,0.37099835
20,640,0.002,0.69870916,0.1372862
21,672,0.002,0.71298918,0.22466701
22,704,0.0019999954,0.68750826,0.15363671
23,736,0.0019999815,0.68538216,0.22014689
24,768,0.0019999584,0.68404451,0.17254786
25,800,0.001999926,0.67953965,0.23725186
26,832,0.0019998844,0.7006768,0.1670879
27,864,0.0019998335,0.70028645,0.2612547
28,896,0.0019997734,0.67581668,0.23301226
29,928,0.0019997041,0.70897865,0.2086906
30,960,0.0019996254,0.65867245,0.22469075
31,992,0.0019995376,0.69899338,0.21589291
32,1024,0.0019994405,0.68777007,0.17270295
33,1056,0.0019993342,0.68296367,0.21884269
34,1088,0.0019992186,0.69519433,0.27583262
35,1120,0.0019990938,0.72293207,0.32041711
36,1152,0.0019989597,0.67327043,0.21367921
37,1184,0.0019988164,0.70926276,0.31965166
38,1216,0.0019986639,0.68651214,0.13912556
39,1248,0.0019985021,0.67632854,0.18943782
40,1280,0.0019983311,0.65000355,0.23761344
41,1312,0.0019981509,0.67495841,0.18846081
42,1344,0.0019979614,0.6536313,0.24542727
43,1376,0.0019977627,0.68586779,0.20398432
44,1408,0.0019975548,0.70351836,0.22389147
45,1440,0.0019973376,0.62212846,0.37716329
46,1472,0.0019971113,0.60211918,0.48875216
47,1504,0.0019968757,0.70080054,0.35226694
48,1536,0.0019966309,0.69851679,0.31458667
49,1568,0.0019963769,0.70690712,0.37271246
50,1600,0.0019961136,0.65193123,0.24016038
51,1632,0.0019958412,0.69470641,0.31674686
52,1664,0.0019955596,0.64888594,0.36366645
53,1696,0.0019952687,0.70776373,0.29490632
54,1728,0.0019949687,0.68137634,0.23897892
55,1760,0.0019946594,0.68487239,0.24365272
56,1792,0.001994341,0.65678972,0.33122784
57,1824,0.0019940134,0.675908,0.23395498
58,1856,0.0019936765,0.70545498,0.34941411
59,1888,0.0019933305,0.66938224,0.18179835
60,1920,0.0019929754,0.65382326,0.22628285
61,1952,0.001992611,0.67864335,0.27862012
62,1984,0.0019922375,0.6620678,0.21375294
63,2016,0.0019918548,0.72454321,0.41376498
64,2048,0.0019914629,0.63625023,0.29293045
65,2080,0.0019910619,0.72698048,0.35559118
66,2112,0.0019906517,0.68026888,0.32558778
67,2144,0.0019902324,0.70290357,0.31330302
68,2176,0.0019898039,0.6518617,0.29649079
69,2208,0.0019893663,0.74402311,0.53972971
70,2240,0.0019889195,0.66962561,0.25029495
71,2272,0.0019884636,0.64803192,0.53712618
72,2304,0.0019879986,0.6500017,0.2641885
73,2336,0.0019875244,0.69778723,0.21580629
74,2368,0.0019870411,0.69711488,0.31175044
75,2400,0.0019865487,0.66764733,0.16485956
76,2432,0.0019860472,0.6561659,0.25543371
77,2464,0.0019855366,0.68904355,0.22987896
78,2496,0.0019850169,0.73083824,0.39532632
79,2528,0.0019844881,0.65073192,0.35345531
80,2560,0.0019839502,0.69523892,0.26214892
81,2592,0.0019834032,0.72692892,0.41938436
82,2624,0.0019828472,0.68104258,0.22840711
83,2656,0.0019822821,0.69552213,0.29759568
84,2688,0.0019817079,0.67854267,0.2873179
85,2720,0.0019811246,0.64891738,0.33519816
86,2752,0.0019805323,0.7400665,0.41937667
87,2784,0.0019799309,0.69882387,0.20983644
88,2816,0.0019793205,0.71044827,0.32865733
89,2848,0.0019787011,0.72153854,0.35522372
90,2880,0.0019780726,0.70616573,0.3254126
91,2912,0.0019774351,0.70619452,0.22795399
92,2944,0.0019767886,0.65567413,0.39239597
93,2976,0.0019761331,0.64823759,0.3764132
94,3008,0.0019754686,0.6243155,0.59635496
95,3040,0.001974795,0.68856972,0.28009313
96,3072,0.0019741125,0.67044249,0.18390161
97,3104,0.001973421,0.71567902,0.34393227
98,3136,0.0019727206,0.72179589,0.34297401
99,3168,0.0019720111,0.65290982,0.34211299
100,3200,0.0019712927,0.68829405,0.18084112
101,3232,0.0019705654,0.6746262,0.25505874
102,3264,0.0019698291,0.69070631,0.18956742
103,3296,0.0019690838,0.65447241,0.41089994
104,3328,0.0019683297,0.70343846,0.26495466
105,3360,0.0019675666,0.67645815,0.1479041
106,3392,0.0019667946,0.68415326,0.20763548
107,3424,0.0019660136,0.65533051,0.24908441
108,3456,0.0019652238,0.66083735,0.28966498
109,3488,0.0019644251,0.63768917,0.34845558
110,3520,0.0019636175,0.67412379,0.24754737
111,3552,0.0019628011,0.67740381,0.2652812
112,3584,0.0019619757,0.7062436,0.41374391
113,3616,0.0019611415,0.63575721,0.34889519
114,3648,0.0019602985,0.65132216,0.23137066
115,3680,0.0019594466,0.76856458,0.73164678
116,3712,0.0019585859,0.71003091,0.4471077
117,3744,0.0019577164,0.71455431,0.33703205
118,3776,0.001956838,0.67821181,0.25926375
119,3808,0.0019559509,0.69588771,0.28197169
120,3840,0.0019550549,0.66606554,0.20704752
121,3872,0.0019541502,0.65220791,0.2161151
