step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69309074,0.030238505
2,64,0.0002,0.69248432,0.053010441
3,96,0.0003,0.69403046,0.033445738
4,128,0.0004,0.69251862,0.050097115
5,160,0.0005,0.69285738,0.025839601
6,192,0.0006,0.69334841,0.049746141
7,224,0.0007,0.69109422,0.05873125
8,256,0.0008,0.69031146,0.037288435
9,288,0.0009,0.69520667,0.050864011
10,320,0.001,0.6874468,0.07155183
11,352,0.0011,0.69574541,0.069921307
12,384,0.0012,0.68546557,0.065013893
13,416,0.0013,0.68741933,0.05047689
14,448,0.0014,0.68743914,0.040703047
15,480,0.0015,0.69402996,0.042928427
16,512,0.0016,0.69589779,0.070100047
17,544,0.0017,0.68623435,0.057821468
18,576,0.0018,0.68349326,0.070414849
19,608,0.0019,0.68226334,0.068376988
20,640,0.002,0.6802884,0.10512916
21,672,0.002,0.67171243,0.08679495
22,704,0.0019999954,0.66047916,0.14618033
23,736,0.0019999815,0.68778682,0.17657302
24,768,0.0019999584,0.67396399,0.29467031
25,800,0.001999926,0.70482409,0.20935515
26,832,0.0019998844,0.65401036,0.25330868
27,864,0.0019998335,0.73194054,0.30299696
28,896,0.0019997734,0.64655787,0.18471321
29,928,0.0019997041,0.64671737,0.4178668
30,960,0.0019996254,0.64526513,0.21330205
31,992,0.0019995376,0.71855861,0.78318834
32,1024,0.0019994405,0.65077263,0.35586956
33,1056,0.0019993342,0.65506527,0.3601962
34,1088,0.0019992186,0.66620934,0.29641697
35,1120,0.0019990938,0.68719408,0.20405976
36,1152,0.0019989597,0.70560446,0.34706447
37,1184,0.0019988164,0.65647119,0.1975953
38,1216,0.0019986639,0.68511361,0.20773748
39,1248,0.0019985021,0.61777183,0.21057934
40,1280,0.0019983311,0.68174446,0.26562762
41,1312,0.0019981509,0.63568789,0.35963306
42,1344,0.0019979614,0.69726387,0.3091538
43,1376,0.0019977627,0.67809868,0.38023081
44,1408,0.0019975548,0.66489974,0.62830824
45,1440,0.0019973376,0.6057142,0.76142347
46,1472,0.0019971113,0.70217133,0.74582607
47,1504,0.0019968757,0.7391153,0.48307911
48,1536,0.0019966309,0.70071578,1.1479837
49,1568,0.0019963769,0.67449838,0.83051586
50,1600,0.0019961136,0.68763858,0.53077608
51,1632,0.0019958412,0.65832531,0.77492839
52,1664,0.0019955596,0.66473806,0.85774028
53,1696,0.0019952687,0.76581216,0.38065559
54,1728,0.0019949687,0.65363181,0.11480581
55,1760,0.0019946594,0.67750204,0.53573179
56,1792,0.001994341,0.66265288,0.22669643
57,1824,0.0019940134,0.63081658,0.16475554
58,1856,0.0019936765,0.68845218,0.10169995
59,1888,0.0019933305,0.62608126,0.18713492
60,1920,0.0019929754,0.67729419,0.14911404
61,1952,0.001992611,0.65421939,0.22406533
62,1984,0.0019922375,0.60163814,0.28978819
63,2016,0.0019918548,0.66907638,0.12983952
64,2048,0.0019914629,0.70982021,0.17278139
65,2080,0.0019910619,0.59652528,0.46481064
66,2112,0.0019906517,0.69228506,0.16171499
67,2144,0.0019902324,0.63958392,0.14238007
68,2176,0.0019898039,0.67529464,0.61024523
69,2208,0.0019893663,0.67074931,0.2123844
70,2240,0.0019889195,0.66632611,0.19058767
71,2272,0.0019884636,0.64628756,0.12138963
72,2304,0.0019879986,0.64334682,0.32027763
73,2336,0.0019875244,0.66726309,0.36271259
74,2368,0.0019870411,0.6636841,0.066843264
75,2400,0.0019865487,0.72381508,0.8341639
76,2432,0.0019860472,0.73048887,0.66528285
77,2464,0.0019855366,0.67961913,0.48396501
78,2496,0.0019850169,0.61527291,0.73767203
79,2528,0.0019844881,0.68478239,0.5439924
80,2560,0.0019839502,0.63964155,0.12615061
81,2592,0.0019834032,0.66158533,0.26244649
82,2624,0.0019828472,0.65451673,1.0303973
83,2656,0.0019822821,0.64796525,0.5494259
84,2688,0.0019817079,0.67027748,0.089863829
85,2720,0.0019811246,0.68280956,1.0767649
86,2752,0.0019805323,0.70706278,0.98746204
87,2784,0.0019799309,0.67402211,0.55650532
88,2816,0.0019793205,0.66441092,0.78689247
89,2848,0.0019787011,0.69895315,1.2239312
90,2880,0.0019780726,0.70123824,0.72722441
91,2912,0.0019774351,0.6532349,0.11926325
92,2944,0.0019767886,0.64172176,0.55403608
93,2976,0.0019761331,0.70313078,1.0187132
94,3008,0.0019754686,0.66959488,0.4916698
95,3040,0.001974795,0.63757703,0.1593347
96,3072,0.0019741125,0.73977777,0.40470308
97,3104,0.001973421,0.70627782,0.47727674
98,3136,0.0019727206,0.74767834,0.59180892
99,3168,0.0019720111,0.68496808,0.14567137
