step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69325387,0.019402055
2,64,0.0002,0.69236556,0.034003027
3,96,0.0003,0.69271582,0.020300012
4,128,0.0004,0.6925382,0.029831104
5,160,0.0005,0.69400036,0.014473393
6,192,0.0006,0.69117761,0.02182027
7,224,0.0007,0.69117114,0.033022191
8,256,0.0008,0.69085103,0.022694454
9,288,0.0009,0.6928291,0.052436944
10,320,0.001,0.698585,0.060975045
11,352,0.0011,0.68924266,0.035887025
12,384,0.0012,0.68263927,0.063063957
13,416,0.0013,0.67045274,0.11370896
14,448,0.0014,0.69394442,0.05704236
15,480,0.0015,0.67076197,0.099260554
16,512,0.0016,0.65265459,0.1662129
17,544,0.0017,0.68275201,0.050872706
18,576,0.0018,0.67361927,0.074859291
19,608,0.0019,0.70513797,0.22948314
20,640,0.002,0.66987729,0.12149944
21,672,0.002,0.69380724,0.29670447
22,704,0.0019999954,0.72872394,0.31222111
23,736,0.0019999815,0.67358327,0.14521419
24,768,0.0019999584,0.67249089,0.11191455
25,800,0.001999926,0.66964632,0.095426224
26,832,0.0019998844,0.65796703,0.12783344
27,864,0.0019998335,0.70898247,0.13049735
28,896,0.0019997734,0.66670224,0.097268835
29,928,0.0019997041,0.67472237,0.096277505
30,960,0.0019996254,0.6967645,0.10423838
31,992,0.0019995376,0.67797685,0.11468157
32,1024,0.0019994405,0.64782685,0.18405186
33,1056,0.0019993342,0.65188166,0.14325242
34,1088,0.0019992186,0.67791945,0.12739608
35,1120,0.0019990938,0.68853614,0.14811568
36,1152,0.0019989597,0.67448768,0.094779849
37,1184,0.0019988164,0.66188264,0.129454
38,1216,0.0019986639,0.67717642,0.091570556
39,1248,0.0019985021,0.60639274,0.36081836
40,1280,0.0019983311,0.69580922,0.11762153
41,1312,0.0019981509,0.63433567,0.20789453
42,1344,0.0019979614,0.71014333,0.22805724
43,1376,0.0019977627,0.62475008,0.19888763
44,1408,0.0019975548,0.69630235,0.25538465
45,1440,0.0019973376,0.59302774,0.30828944
46,1472,0.0019971113,0.6330457,0.13618636
47,1504,0.0019968757,0.70240664,0.29593867
48,1536,0.0019966309,0.63513386,0.17408529
49,1568,0.0019963769,0.65777045,0.18386962
50,1600,0.0019961136,0.59554389,0.16706824
51,1632,0.0019958412,0.68163374,0.26521131
52,1664,0.0019955596,0.74825341,0.42013758
53,1696,0.0019952687,0.66002238,0.23743029
54,1728,0.0019949687,0.6747458,0.27295032
55,1760,0.0019946594,0.69339225,0.2296131
56,1792,0.001994341,0.64664158,0.20436086
57,1824,0.0019940134,0.63349345,0.19139011
58,1856,0.0019936765,0.65995857,0.098867103
59,1888,0.0019933305,0.61227746,0.17976087
60,1920,0.0019929754,0.66681862,0.36882132
61,1952,0.001992611,0.65834123,0.22409172
62,1984,0.0019922375,0.64079028,0.1841031
63,2016,0.0019918548,0.65401027,0.073981084
64,2048,0.0019914629,0.70827541,0.33389917
65,2080,0.0019910619,0.65762782,0.26813039
66,2112,0.0019906517,0.66398439,0.10687036
67,2144,0.0019902324,0.62138963,0.28823987
68,2176,0.0019898039,0.61258477,0.34101245
69,2208,0.0019893663,0.68510464,0.12296636
70,2240,0.0019889195,0.6229485,0.19747388
71,2272,0.0019884636,0.64683288,0.21115085
72,2304,0.0019879986,0.6526354,0.11252155
73,2336,0.0019875244,0.68542096,0.33795178
74,2368,0.0019870411,0.70411941,0.46329743
75,2400,0.0019865487,0.74566728,0.49596262
76,2432,0.0019860472,0.68217808,0.15552101
77,2464,0.0019855366,0.64382187,0.13580546
78,2496,0.0019850169,0.61830267,0.27606025
79,2528,0.0019844881,0.6577037,0.12238184
80,2560,0.0019839502,0.65467978,0.13666184
81,2592,0.0019834032,0.64495674,0.17990798
82,2624,0.0019828472,0.65317157,0.1745116
83,2656,0.0019822821,0.65942466,0.11060844
84,2688,0.0019817079,0.7084299,0.22073549
85,2720,0.0019811246,0.67786911,0.16538735
86,2752,0.0019805323,0.73322362,0.39363062
87,2784,0.0019799309,0.71446943,0.19948703
88,2816,0.0019793205,0.6596598,0.12791643
89,2848,0.0019787011,0.66850021,0.085528143
90,2880,0.0019780726,0.63859922,0.20796388
91,2912,0.0019774351,0.62842569,0.23953547
92,2944,0.0019767886,0.65492189,0.15170792
93,2976,0.0019761331,0.68528441,0.14793649
94,3008,0.0019754686,0.65366405,0.17401879
95,3040,0.001974795,0.59151474,0.35732117
96,3072,0.0019741125,0.70721215,0.20162964
97,3104,0.001973421,0.73914343,0.29650697
98,3136,0.0019727206,0.69271389,0.1506685
99,3168,0.0019720111,0.70034689,0.15525581
100,3200,0.0019712927,0.66172701,0.23672949
101,3232,0.0019705654,0.61330891,0.21762314
102,3264,0.0019698291,0.65523717,0.098349608
103,3296,0.0019690838,0.65998012,0.11422727
104,3328,0.0019683297,0.71377861,0.26303828
105,3360,0.0019675666,0.57202339,0.38036323
106,3392,0.0019667946,0.66657102,0.16627717
107,3424,0.0019660136,0.66818088,0.15747853
108,3456,0.0019652238,0.74386016,0.38569859
109,3488,0.0019644251,0.65501791,0.16389968
110,3520,0.0019636175,0.70266941,0.22554116
111,3552,0.0019628011,0.67053795,0.11326201
112,3584,0.0019619757,0.70686731,0.28190872
113,3616,0.0019611415,0.64347023,0.14355268
114,3648,0.0019602985,0.6028192,0.23388059
115,3680,0.0019594466,0.66582361,0.15784848
116,3712,0.0019585859,0.67096761,0.31854936
117,3744,0.0019577164,0.70333213,0.31556982
118,3776,0.001956838,0.65884596,0.14332289
119,3808,0.0019559509,0.58981639,0.3908782
120,3840,0.0019550549,0.65711838,0.11305735
121,3872,0.0019541502,0.66060176,0.12343716
122,3904,0.0019532367,0.66025198,0.11817574
123,3936,0.0019523144,0.66716704,0.10489921
124,3968,0.0019513833,0.61290884,0.2080691
125,4000,0.0019504435,0.67031449,0.10580137
126,4032,0.001949495,0.68819082,0.27047339
127,4064,0.0019485377,0.58230075,0.29613891
128,4096,0.0019475718,0.61503845,0.27646342
129,4128,0.0019465971,0.57610172,0.36023316
130,4160,0.0019456137,0.73187953,0.41493404
131,4192,0.0019446216,0.66992906,0.1752888
132,4224,0.0019436208,0.75878417,0.4291108
133,4256,0.0019426114,0.65197527,0.22261159
134,4288,0.0019415933,0.66715699,0.18235438
135,4320,0.0019405666,0.74220911,0.4511174
136,4352,0.0019395312,0.65331149,0.30051646
137,4384,0.0019384872,0.63275269,0.20183624
138,4416,0.0019374345,0.60781989,0.37717456
139,4448,0.0019363733,0.7064684,0.22144531
140,4480,0.0019353035,0.67208368,0.10926566
141,4512,0.0019342251,0.64579022,0.13564882
142,4544,0.0019331381,0.70699754,0.29131159
143,4576,0.0019320426,0.62371308,0.17857853
144,4608,0.0019309385,0.60116366,0.31178063
145,4640,0.0019298258,0.66498318,0.18445189
146,4672,0.0019287047,0.64723119,0.20293112
147,4704,0.001927575,0.64434847,0.22231261
148,4736,0.0019264368,0.64228594,0.13700013
149,4768,0.0019252901,0.55976185,0.4423883
150,4800,0.001924135,0.68302935,0.20422159
151,4832,0.0019229714,0.63263232,0.24583057
152,4864,0.0019217993,0.58809286,0.24186911
153,4896,0.0019206188,0.56303102,0.28582013
154,4928,0.0019194298,0.68311512,0.28311554
155,4960,0.0019182324,0.58568159,0.20797543
156,4992,0.0019170266,0.6434209,0.16908374
157,5024,0.0019158124,0.66342232,0.32745665
158,5056,0.0019145899,0.72930622,0.42017397
159,5088,0.0019133589,0.65962112,0.24204336
160,5120,0.0019121196,0.59365711,0.46290994
161,5152,0.001910872,0.65346074,0.25278306
162,5184,0.001909616,0.66355062,0.25363564
163,5216,0.0019083517,0.65219477,0.12566963
164,5248,0.0019070791,0.60965684,0.13353264
165,5280,0.0019057982,0.66261777,0.13465592
166,5312,0.001904509,0.64228642,0.28011334
167,5344,0.0019032116,0.73031622,0.56002915
168,5376,0.0019019059,0.6212095,0.14133114
169,5408,0.0019005919,0.72289708,0.35985744
170,5440,0.0018992698,0.63216338,0.15641393
171,5472,0.0018979394,0.65384519,0.13443945
172,5504,0.0018966008,0.62233126,0.33146545
173,5536,0.001895254,0.715455,0.27510524
174,5568,0.0018938991,0.70089427,0.21038954
175,5600,0.001892536,0.64573106,0.26764184
176,5632,0.0018911647,0.68336383,0.076413445
177,5664,0.0018897854,0.66380188,0.13133106
178,5696,0.0018883979,0.66416669,0.21816295
179,5728,0.0018870023,0.70478651,0.17745937
180,5760,0.0018855986,0.66271627,0.16815242
181,5792,0.0018841868,0.63319176,0.31266931
182,5824,0.001882767,0.70405984,0.22273538
