step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69290063,0.031399488
2,64,0.0002,0.69296187,0.030527888
3,96,0.0003,0.69332847,0.028383071
4,128,0.0004,0.69203106,0.038503822
5,160,0.0005,0.69311181,0.056802813
6,192,0.0006,0.69009373,0.070360467
7,224,0.0007,0.68893626,0.11539146
8,256,0.0008,0.68883127,0.15269317
9,288,0.0009,0.68465608,0.49931628
10,320,0.001,0.69288546,0.39237338
11,352,0.0011,0.66757685,1.1205523
12,384,0.0012,0.70751828,1.4030017
13,416,0.0013,0.62476903,1.0006512
14,448,0.0014,0.68695033,1.8319606
15,480,0.0015,0.71198767,1.2556403
16,512,0.0016,0.75354955,1.2263646
17,544,0.0017,0.65793538,0.45881838
18,576,0.0018,0.70102489,0.39007181
19,608,0.0019,0.71775851,0.4193933
20,640,0.002,0.69416475,0.096766084
21,672,0.002,0.69538444,0.090696052
22,704,0.0019999954,0.69488019,0.038285512
23,736,0.0019999815,0.69468927,0.037849877
24,768,0.0019999584,0.69348696,0.020524185
25,800,0.001999926,0.69317135,0.012823407
26,832,0.0019998844,0.69376886,0.019426787
27,864,0.0019998335,0.69301301,0.015100512
28,896,0.0019997734,0.69235405,0.01911203
29,928,0.0019997041,0.69343007,0.013509711
30,960,0.0019996254,0.69171128,0.023024812
31,992,0.0019995376,0.69112968,0.029368361
32,1024,0.0019994405,0.69165003,0.032075915
33,1056,0.0019993342,0.6894308,0.05701657
34,1088,0.0019992186,0.6918962,0.056365088
35,1120,0.0019990938,0.69339156,0.049482387
36,1152,0.0019989597,0.68293917,0.11467322
37,1184,0.0019988164,0.69202521,0.090801403
38,1216,0.0019986639,0.70328289,0.22514576
39,1248,0.0019985021,0.69659308,0.18790431
40,1280,0.0019983311,0.69354054,0.2075136
41,1312,0.0019981509,0.69463781,0.14358874
42,1344,0.0019979614,0.6937587,0.11657505
43,1376,0.0019977627,0.69241229,0.098606236
44,1408,0.0019975548,0.68782687,0.10119019
45,1440,0.0019973376,0.68988177,0.058976825
46,1472,0.0019971113,0.69320014,0.054491188
47,1504,0.0019968757,0.68678874,0.091701105
48,1536,0.0019966309,0.6861648,0.097601242
49,1568,0.0019963769,0.68992314,0.068494156
50,1600,0.0019961136,0.68393534,0.1019229
51,1632,0.0019958412,0.69704887,0.13143899
52,1664,0.0019955596,0.68745145,0.12575434
53,1696,0.0019952687,0.69616181,0.15856615
54,1728,0.0019949687,0.69311339,0.11450794
55,1760,0.0019946594,0.65481785,0.23870611
56,1792,0.001994341,0.69264644,0.50868374
57,1824,0.0019940134,0.70170826,0.2361113
58,1856,0.0019936765,0.67788497,0.18286762
59,1888,0.0019933305,0.70692268,0.20067884
60,1920,0.0019929754,0.68317688,0.13853222
61,1952,0.001992611,0.67713255,0.12246837
62,1984,0.0019922375,0.67246577,0.25077781
63,2016,0.0019918548,0.64880607,0.20435961
64,2048,0.0019914629,0.74021697,0.58784014
65,2080,0.0019910619,0.65937629,0.69945276
66,2112,0.0019906517,0.70399946,2.7470491
67,2144,0.0019902324,0.6174368,0.61691213
68,2176,0.0019898039,0.69362432,2.3459415
69,2208,0.0019893663,0.67894879,0.76955116
70,2240,0.0019889195,0.69549513,0.23459812
71,2272,0.0019884636,0.68023106,0.19012371
72,2304,0.0019879986,0.71224165,0.39687064
73,2336,0.0019875244,0.63302577,0.13850804
74,2368,0.0019870411,0.7275649,0.41917759
75,2400,0.0019865487,0.6777465,0.090709552
76,2432,0.0019860472,0.67959362,0.17036474
77,2464,0.0019855366,0.69465771,0.050214838
78,2496,0.0019850169,0.66611549,0.30742809
79,2528,0.0019844881,0.69318569,0.032574981
80,2560,0.0019839502,0.69289628,0.022273589
81,2592,0.0019834032,0.7213667,0.30911452
82,2624,0.0019828472,0.65350619,0.29841307
83,2656,0.0019822821,0.67991722,0.10512287
84,2688,0.0019817079,0.69347003,0.014276034
85,2720,0.0019811246,0.69137433,0.041306321
86,2752,0.0019805323,0.69409734,0.028250718
87,2784,0.0019799309,0.67857391,0.085338391
88,2816,0.0019793205,0.64786297,0.27447462
89,2848,0.0019787011,0.70822179,0.24989897
90,2880,0.0019780726,0.69319317,0.070016176
91,2912,0.0019774351,0.74010208,0.58026785
92,2944,0.0019767886,0.72256875,0.31716239
93,2976,0.0019761331,0.69399306,0.020352842
94,3008,0.0019754686,0.69373918,0.022666657
95,3040,0.001974795,0.67514262,0.20964234
96,3072,0.0019741125,0.67658982,0.20846251
97,3104,0.001973421,0.69326589,0.021710044
