step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69836476,0.65796041
2,64,0.0002,0.68893176,0.2812618
3,96,0.0003,0.69673127,0.2311282
4,128,0.0004,0.69682255,0.26324105
5,160,0.0005,0.69602081,0.29444653
6,192,0.0006,0.69150859,0.18875456
7,224,0.0007,0.69212729,0.36249486
8,256,0.0008,0.70265895,0.227801
9,288,0.0009,0.68728489,0.19645807
10,320,0.001,0.70041621,0.26158828
11,352,0.0011,0.68246037,0.17024551
12,384,0.0012,0.7167106,0.5303126
13,416,0.0013,0.6833005,0.24234611
14,448,0.0014,0.7011719,0.24100861
15,480,0.0015,0.6943619,0.23528253
16,512,0.0016,0.68743291,0.28078371
17,544,0.0017,0.75650001,0.60684526
18,576,0.0018,0.68658566,0.24793972
19,608,0.0019,0.75157845,0.60684353
20,640,0.002,0.70000368,0.15998946
21,672,0.002,0.70267242,0.2140515
22,704,0.0019999954,0.68573719,0.15335397
23,736,0.0019999815,0.67432469,0.26906008
24,768,0.0019999584,0.69485849,0.27829525
25,800,0.001999926,0.69002801,0.23351277
26,832,0.0019998844,0.71278661,0.31686687
27,864,0.0019998335,0.70945308,0.30820593
28,896,0.0019997734,0.68876418,0.22358686
29,928,0.0019997041,0.70448327,0.21429597
30,960,0.0019996254,0.6762501,0.18912846
31,992,0.0019995376,0.69330612,0.10961541
32,1024,0.0019994405,0.68581071,0.14854132
33,1056,0.0019993342,0.68629089,0.26986271
34,1088,0.0019992186,0.6922195,0.3652527
35,1120,0.0019990938,0.70514214,0.27925202
36,1152,0.0019989597,0.68451753,0.15728621
37,1184,0.0019988164,0.70362896,0.368599
38,1216,0.0019986639,0.69001555,0.18025099
39,1248,0.0019985021,0.67544043,0.20595671
40,1280,0.0019983311,0.6634151,0.27012137
41,1312,0.0019981509,0.69693875,0.23453933
42,1344,0.0019979614,0.66137654,0.25442442
43,1376,0.0019977627,0.68333161,0.2648156
44,1408,0.0019975548,0.7073575,0.23299956
45,1440,0.0019973376,0.63394621,0.48563823
46,1472,0.0019971113,0.63828793,0.48808646
47,1504,0.0019968757,0.68341148,0.37913105
48,1536,0.0019966309,0.70400557,0.41406512
49,1568,0.0019963769,0.69447315,0.31685472
50,1600,0.0019961136,0.66628215,0.29986733
51,1632,0.0019958412,0.68310115,0.21998905
52,1664,0.0019955596,0.64063516,0.53176719
53,1696,0.0019952687,0.67513752,0.35719901
54,1728,0.0019949687,0.6880399,0.36618298
