step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69371125,0.097235322
2,64,0.0002,0.69274551,0.13362086
3,96,0.0003,0.69217157,0.076933332
4,128,0.0004,0.68973431,0.12286992
5,160,0.0005,0.6944479,0.079879448
6,192,0.0006,0.68789428,0.07673879
7,224,0.0007,0.68590945,0.13683416
8,256,0.0008,0.68918175,0.082693905
9,288,0.0009,0.69315794,0.15462506
10,320,0.001,0.71454749,0.25277117
11,352,0.0011,0.68864754,0.11292603
12,384,0.0012,0.67540526,0.1288231
13,416,0.0013,0.66837341,0.14929849
14,448,0.0014,0.69479477,0.11455438
15,480,0.0015,0.6662876,0.17368643
16,512,0.0016,0.65259102,0.20414174
17,544,0.0017,0.68619466,0.084457189
18,576,0.0018,0.68966618,0.10254127
19,608,0.0019,0.68903008,0.13366197
20,640,0.002,0.67403692,0.16006577
21,672,0.002,0.6871635,0.13596955
22,704,0.0019999954,0.73478991,0.34404752
23,736,0.0019999815,0.6821495,0.18228175
24,768,0.0019999584,0.68390423,0.16037397
25,800,0.001999926,0.67236364,0.14041258
26,832,0.0019998844,0.6441724,0.16810191
27,864,0.0019998335,0.69673648,0.21955574
28,896,0.0019997734,0.69440612,0.18457158
29,928,0.0019997041,0.68202895,0.28107294
30,960,0.0019996254,0.69155455,0.16789788
31,992,0.0019995376,0.66800305,0.15360603
32,1024,0.0019994405,0.621831,0.28555524
33,1056,0.0019993342,0.66673657,0.14320102
34,1088,0.0019992186,0.68444863,0.14376535
35,1120,0.0019990938,0.68784755,0.19357522
36,1152,0.0019989597,0.68773699,0.11943262
37,1184,0.0019988164,0.64920688,0.197291
38,1216,0.0019986639,0.65187132,0.16022803
39,1248,0.0019985021,0.64540187,0.22202936
40,1280,0.0019983311,0.66251391,0.1378313
41,1312,0.0019981509,0.62838572,0.23634614
42,1344,0.0019979614,0.69852895,0.23277104
43,1376,0.0019977627,0.64577565,0.20151651
44,1408,0.0019975548,0.69914824,0.28474882
45,1440,0.0019973376,0.58449045,0.38973099
46,1472,0.0019971113,0.65410334,0.14310551
47,1504,0.0019968757,0.71988696,0.49480355
48,1536,0.0019966309,0.57349661,0.39876974
49,1568,0.0019963769,0.71092564,0.41856772
50,1600,0.0019961136,0.62773433,0.14665826
51,1632,0.0019958412,0.62267375,0.24013075
52,1664,0.0019955596,0.69768375,0.2739898
53,1696,0.0019952687,0.7171883,0.47274864
54,1728,0.0019949687,0.64834508,0.16956255
55,1760,0.0019946594,0.72015187,0.42237663
56,1792,0.001994341,0.65542972,0.2628186
57,1824,0.0019940134,0.65230787,0.18794577
58,1856,0.0019936765,0.6617659,0.15384862
59,1888,0.0019933305,0.61887628,0.3831442
60,1920,0.0019929754,0.66656071,0.39390963
61,1952,0.001992611,0.6561043,0.21945164
62,1984,0.0019922375,0.61055076,0.31808424
63,2016,0.0019918548,0.69239065,0.52826738
64,2048,0.0019914629,0.69772422,0.39034036
65,2080,0.0019910619,0.62265873,0.34205881
66,2112,0.0019906517,0.68632308,0.19595049
67,2144,0.0019902324,0.66053349,0.38187847
68,2176,0.0019898039,0.62314898,0.23954847
69,2208,0.0019893663,0.66888306,0.28639132
70,2240,0.0019889195,0.61665738,0.25315371
71,2272,0.0019884636,0.6939646,0.30690506
72,2304,0.0019879986,0.6408149,0.14962573
73,2336,0.0019875244,0.63651004,0.25487843
74,2368,0.0019870411,0.71976173,0.40930104
75,2400,0.0019865487,0.7034491,0.30090594
76,2432,0.0019860472,0.67870116,0.2940667
77,2464,0.0019855366,0.64462808,0.29357514
78,2496,0.0019850169,0.66628218,0.39185002
79,2528,0.0019844881,0.63703424,0.16688387
80,2560,0.0019839502,0.64471102,0.15013936
81,2592,0.0019834032,0.63358292,0.36453658
82,2624,0.0019828472,0.68990347,0.1779072
83,2656,0.0019822821,0.64858884,0.12630501
84,2688,0.0019817079,0.70092541,0.18697959
85,2720,0.0019811246,0.6809518,0.28414938
86,2752,0.0019805323,0.7233879,0.37098932
87,2784,0.0019799309,0.74510238,0.40730387
88,2816,0.0019793205,0.65408355,0.25818381
89,2848,0.0019787011,0.66076955,0.24691041
90,2880,0.0019780726,0.65657452,0.16951393
91,2912,0.0019774351,0.63244846,0.28854144
92,2944,0.0019767886,0.65536961,0.16110086
93,2976,0.0019761331,0.70216614,0.26251116
94,3008,0.0019754686,0.70128119,0.24069437
95,3040,0.001974795,0.61445749,0.37398177
96,3072,0.0019741125,0.71583837,0.25322866
97,3104,0.001973421,0.71481052,0.31294554
98,3136,0.0019727206,0.6941919,0.17458297
99,3168,0.0019720111,0.68504632,0.095902607
100,3200,0.0019712927,0.65992346,0.25182876
101,3232,0.0019705654,0.64262503,0.2577548
102,3264,0.0019698291,0.65421543,0.18001917
103,3296,0.0019690838,0.64469439,0.22218686
104,3328,0.0019683297,0.69057706,0.15614419
105,3360,0.0019675666,0.60518059,0.41145489
106,3392,0.0019667946,0.65842044,0.17366208
107,3424,0.0019660136,0.62933701,0.24831539
108,3456,0.0019652238,0.75983256,0.48090583
109,3488,0.0019644251,0.67208636,0.17011434
110,3520,0.0019636175,0.66063979,0.08764565
111,3552,0.0019628011,0.65587243,0.1174981
112,3584,0.0019619757,0.71032044,0.37186581
113,3616,0.0019611415,0.63965157,0.13200612
114,3648,0.0019602985,0.63562998,0.1656395
115,3680,0.0019594466,0.6632416,0.12468509
116,3712,0.0019585859,0.66557512,0.35507703
117,3744,0.0019577164,0.71908566,0.4155587
118,3776,0.001956838,0.66423592,0.1574076
119,3808,0.0019559509,0.58572239,0.40976855
120,3840,0.0019550549,0.66108659,0.16308318
121,3872,0.0019541502,0.63162789,0.18709335
122,3904,0.0019532367,0.64540663,0.25645208
123,3936,0.0019523144,0.6607646,0.094891347
124,3968,0.0019513833,0.63042548,0.33614421
125,4000,0.0019504435,0.63610896,0.13283087
126,4032,0.001949495,0.67682615,0.36124066
127,4064,0.0019485377,0.57360223,0.2851955
128,4096,0.0019475718,0.66444403,0.29190627
129,4128,0.0019465971,0.55784228,0.45237744
130,4160,0.0019456137,0.69258046,0.39815649
131,4192,0.0019446216,0.67245832,0.16710438
132,4224,0.0019436208,0.77175078,0.52585804
133,4256,0.0019426114,0.6399734,0.28045279
134,4288,0.0019415933,0.704283,0.30289385
135,4320,0.0019405666,0.74956518,0.47075567
136,4352,0.0019395312,0.65750933,0.3987394
137,4384,0.0019384872,0.64386651,0.33085468
138,4416,0.0019374345,0.587612,0.29650721
139,4448,0.0019363733,0.7108317,0.31681454
140,4480,0.0019353035,0.68110064,0.24996394
141,4512,0.0019342251,0.65475845,0.18635131
142,4544,0.0019331381,0.71652946,0.30909574
143,4576,0.0019320426,0.62685323,0.24666135
144,4608,0.0019309385,0.59862623,0.35875624
145,4640,0.0019298258,0.67414382,0.087587871
146,4672,0.0019287047,0.64768109,0.1770079
147,4704,0.001927575,0.65486941,0.26582003
148,4736,0.0019264368,0.64591366,0.17347652
149,4768,0.0019252901,0.62920928,0.32958907
150,4800,0.001924135,0.65608963,0.1861213
151,4832,0.0019229714,0.65194681,0.15130757
152,4864,0.0019217993,0.62240463,0.20988506
153,4896,0.0019206188,0.62053752,0.36905268
154,4928,0.0019194298,0.72557169,0.39131761
155,4960,0.0019182324,0.6140452,0.17898123
156,4992,0.0019170266,0.660191,0.14148219
157,5024,0.0019158124,0.71115059,0.39146227
158,5056,0.0019145899,0.75536278,0.7071119
159,5088,0.0019133589,0.63599163,0.46660182
160,5120,0.0019121196,0.58047143,0.47349977
161,5152,0.001910872,0.71466997,0.51275414
162,5184,0.001909616,0.72825974,0.38650498
163,5216,0.0019083517,0.71715185,0.32938397
164,5248,0.0019070791,0.65450329,0.1141787
165,5280,0.0019057982,0.68101975,0.20063175
166,5312,0.001904509,0.63637099,0.15986505
167,5344,0.0019032116,0.66421986,0.24174312
168,5376,0.0019019059,0.64449999,0.14014444
169,5408,0.0019005919,0.63523096,0.25741288
170,5440,0.0018992698,0.62108785,0.24437761
171,5472,0.0018979394,0.62715054,0.26000634
172,5504,0.0018966008,0.64831954,0.26322654
173,5536,0.001895254,0.72594038,0.2780185
174,5568,0.0018938991,0.67257649,0.087384976
175,5600,0.001892536,0.67252189,0.28804731
176,5632,0.0018911647,0.69590878,0.19420436
177,5664,0.0018897854,0.67384145,0.13720834
178,5696,0.0018883979,0.65007156,0.1767108
179,5728,0.0018870023,0.70090646,0.16727616
180,5760,0.0018855986,0.66115832,0.15596007
181,5792,0.0018841868,0.61332682,0.31666642
182,5824,0.001882767,0.72924826,0.31186989
183,5856,0.0018813392,0.66950554,0.20996872
184,5888,0.0018799033,0.65580395,0.18666875
185,5920,0.0018784594,0.62672886,0.20313993
186,5952,0.0018770075,0.67945114,0.15805596
187,5984,0.0018755476,0.67494085,0.11725844
188,6016,0.0018740797,0.62033638,0.34569371
189,6048,0.0018726039,0.68296531,0.22283733
190,6080,0.0018711202,0.69578773,0.22241694
191,6112,0.0018696285,0.64741492,0.23448148
192,6144,0.0018681289,0.6155422,0.26778254
193,6176,0.0018666214,0.61609435,0.2689341
194,6208,0.0018651061,0.64517346,0.30611911
195,6240,0.0018635828,0.64087838,0.19480911
196,6272,0.0018620518,0.62221947,0.19610763
197,6304,0.0018605129,0.65488851,0.17407101
198,6336,0.0018589662,0.65507859,0.24626742
199,6368,0.0018574117,0.71366501,0.38937259
200,6400,0.0018558494,0.64574739,0.19241075
201,6432,0.0018542793,0.6652247,0.2429605
202,6464,0.0018527015,0.59999806,0.36508456
203,6496,0.0018511159,0.68995935,0.3047846
204,6528,0.0018495227,0.61792129,0.26704916
205,6560,0.0018479217,0.60942334,0.40950462
206,6592,0.001846313,0.57928056,0.3291105
207,6624,0.0018446967,0.68522742,0.28366861
208,6656,0.0018430727,0.61554605,0.3016113
209,6688,0.0018414411,0.6395607,0.48382849
210,6720,0.0018398019,0.6715948,0.29663342
211,6752,0.001838155,0.68882295,0.6705029
