step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69131199,0.2347911
2,64,0.0002,0.69226503,0.15875842
3,96,0.0003,0.68824187,0.23214799
4,128,0.0004,0.69271988,0.14990371
5,160,0.0005,0.71397594,0.3945213
6,192,0.0006,0.68690094,0.2226388
7,224,0.0007,0.68450803,0.22315779
8,256,0.0008,0.68336308,0.21046442
9,288,0.0009,0.68981242,0.30039802
10,320,0.001,0.69751304,0.34218785
11,352,0.0011,0.68403614,0.34595212
12,384,0.0012,0.67517689,0.27082634
13,416,0.0013,0.66132221,0.2720041
14,448,0.0014,0.69169953,0.28466454
15,480,0.0015,0.68862736,0.5104416
16,512,0.0016,0.61492822,0.42681557
17,544,0.0017,0.68231148,0.4097237
18,576,0.0018,0.68077245,0.27848572
19,608,0.0019,0.70820692,0.35985065
20,640,0.002,0.62434074,0.37671208
21,672,0.002,0.71050483,0.37626281
22,704,0.0019999954,0.69029731,0.39747646
23,736,0.0019999815,0.67301333,0.39686829
24,768,0.0019999584,0.71378022,0.45613948
25,800,0.001999926,0.67293125,0.26913926
26,832,0.0019998844,0.61690021,0.36364394
27,864,0.0019998335,0.71756136,0.4461334
28,896,0.0019997734,0.65366915,0.25376698
29,928,0.0019997041,0.64920285,0.27747729
30,960,0.0019996254,0.72736704,0.61774957
31,992,0.0019995376,0.68133357,0.30379274
32,1024,0.0019994405,0.6123271,0.6122812
33,1056,0.0019993342,0.69158223,0.26627374
34,1088,0.0019992186,0.7170361,0.33759466
35,1120,0.0019990938,0.70991343,0.57657659
36,1152,0.0019989597,0.65049973,0.54415268
37,1184,0.0019988164,0.63905784,0.27964774
38,1216,0.0019986639,0.65458268,0.27251878
39,1248,0.0019985021,0.71295786,0.3815279
40,1280,0.0019983311,0.71306109,0.41603082
41,1312,0.0019981509,0.65749547,0.35291609
42,1344,0.0019979614,0.69622722,0.38970074
43,1376,0.0019977627,0.63575429,0.39271086
44,1408,0.0019975548,0.65570259,0.26627377
45,1440,0.0019973376,0.62877658,0.36235115
46,1472,0.0019971113,0.67768174,0.37088808
47,1504,0.0019968757,0.68709552,0.24263741
48,1536,0.0019966309,0.63331902,0.53895366
49,1568,0.0019963769,0.70562333,0.37943223
50,1600,0.0019961136,0.66947383,0.22749162
51,1632,0.0019958412,0.639227,0.2835415
52,1664,0.0019955596,0.73857537,0.51196647
53,1696,0.0019952687,0.70226011,0.31181681
54,1728,0.0019949687,0.6300585,0.4679161
55,1760,0.0019946594,0.73649973,0.78091514
56,1792,0.001994341,0.66597334,0.51360303
57,1824,0.0019940134,0.66662577,0.3893967
58,1856,0.0019936765,0.6512934,0.27680227
59,1888,0.0019933305,0.63841271,0.32869649
60,1920,0.0019929754,0.65813228,0.39578092
61,1952,0.001992611,0.66988739,0.31990245
62,1984,0.0019922375,0.56984547,0.5553984
63,2016,0.0019918548,0.69188547,0.3810989
64,2048,0.0019914629,0.64380363,0.28679031
65,2080,0.0019910619,0.56989324,0.41212994
66,2112,0.0019906517,0.75906774,0.87029278
67,2144,0.0019902324,0.64430103,0.31775439
68,2176,0.0019898039,0.61406764,0.39382911
69,2208,0.0019893663,0.68198684,0.57513523
70,2240,0.0019889195,0.59813198,0.35105261
71,2272,0.0019884636,0.66365239,0.27905965
72,2304,0.0019879986,0.64215887,0.73896807
73,2336,0.0019875244,0.73520872,0.73620999
74,2368,0.0019870411,0.70453954,0.86586636
75,2400,0.0019865487,0.6632089,0.58403373
76,2432,0.0019860472,0.71842849,0.47184986
77,2464,0.0019855366,0.67357808,0.75458431
78,2496,0.0019850169,0.66962236,0.64537585
79,2528,0.0019844881,0.6476016,0.33854529
80,2560,0.0019839502,0.67081854,0.25191623
81,2592,0.0019834032,0.6666739,0.30255628
82,2624,0.0019828472,0.6478039,0.31892082
83,2656,0.0019822821,0.63916123,0.34803686
84,2688,0.0019817079,0.65042388,0.24548182
85,2720,0.0019811246,0.70569056,0.40910086
86,2752,0.0019805323,0.69377434,0.44890198
87,2784,0.0019799309,0.74035949,0.54699415
88,2816,0.0019793205,0.63222146,0.36429086
89,2848,0.0019787011,0.66555461,0.22402884
90,2880,0.0019780726,0.62223315,0.38659087
91,2912,0.0019774351,0.68517739,0.67039067
92,2944,0.0019767886,0.70601714,0.32550874
93,2976,0.0019761331,0.72438169,0.4411833
94,3008,0.0019754686,0.64361218,0.28812674
95,3040,0.001974795,0.59835517,0.55878812
96,3072,0.0019741125,0.75462872,0.7521162
97,3104,0.001973421,0.68757105,0.31124657
98,3136,0.0019727206,0.71099195,0.34720817
99,3168,0.0019720111,0.71519747,0.39146048
100,3200,0.0019712927,0.65480605,0.38154763
101,3232,0.0019705654,0.61695471,0.6102441
102,3264,0.0019698291,0.66004673,0.3941389
103,3296,0.0019690838,0.64146888,0.4352988
104,3328,0.0019683297,0.67024833,0.4624888
105,3360,0.0019675666,0.59113592,0.70190573
106,3392,0.0019667946,0.64151013,0.41148677
107,3424,0.0019660136,0.60535452,0.49263361
108,3456,0.0019652238,0.66292956,0.19447893
109,3488,0.0019644251,0.69631115,0.43596405
110,3520,0.0019636175,0.65610409,0.28530574
111,3552,0.0019628011,0.63558343,0.37536302
112,3584,0.0019619757,0.72020495,0.55426043
113,3616,0.0019611415,0.60470709,0.37236795
114,3648,0.0019602985,0.6520257,0.42868599
115,3680,0.0019594466,0.59559077,0.51467729
116,3712,0.0019585859,0.6192148,0.51650786
117,3744,0.0019577164,0.74667773,1.2688805
118,3776,0.001956838,0.70918673,0.77170503
119,3808,0.0019559509,0.55874541,0.73782665
120,3840,0.0019550549,0.61079845,0.83574939
121,3872,0.0019541502,0.60313898,0.52896929
122,3904,0.0019532367,0.55545238,0.64697665
123,3936,0.0019523144,0.73325294,0.90015763
124,3968,0.0019513833,0.57706192,1.134297
125,4000,0.0019504435,0.65759102,0.79908216
126,4032,0.001949495,0.69917518,0.69836622
127,4064,0.0019485377,0.54184291,0.54780191
128,4096,0.0019475718,0.66375667,0.76415867
129,4128,0.0019465971,0.59840739,0.65717763
130,4160,0.0019456137,0.66599607,0.98957294
131,4192,0.0019446216,0.64736858,0.4381381
132,4224,0.0019436208,0.6488888,0.29257852
133,4256,0.0019426114,0.62224731,0.70550609
134,4288,0.0019415933,0.63797194,0.38492599
135,4320,0.0019405666,0.73878306,0.61069041
136,4352,0.0019395312,0.60950252,0.62159282
137,4384,0.0019384872,0.65116915,0.82356662
138,4416,0.0019374345,0.59680459,0.32623452
139,4448,0.0019363733,0.63597748,0.47626746
140,4480,0.0019353035,0.64520502,0.31207377
141,4512,0.0019342251,0.62499294,0.40115336
142,4544,0.0019331381,0.64823967,0.53116381
143,4576,0.0019320426,0.61562675,0.41783306
144,4608,0.0019309385,0.63664195,0.68009579
145,4640,0.0019298258,0.69494623,0.55442321
146,4672,0.0019287047,0.64548221,0.65644854
147,4704,0.001927575,0.60602301,0.44903708
148,4736,0.0019264368,0.69710779,0.40300485
149,4768,0.0019252901,0.57241258,0.52593249
150,4800,0.001924135,0.69416133,0.54767317
151,4832,0.0019229714,0.61291265,0.52101529
152,4864,0.0019217993,0.60862589,0.55085248
153,4896,0.0019206188,0.59182069,0.50668108
154,4928,0.0019194298,0.67073059,0.20667659
155,4960,0.0019182324,0.61802584,0.719154
156,4992,0.0019170266,0.69477326,0.2857787
157,5024,0.0019158124,0.72942021,0.8813467
158,5056,0.0019145899,0.74863476,0.60422534
159,5088,0.0019133589,0.67796808,0.48685062
160,5120,0.0019121196,0.62634766,0.60399133
161,5152,0.001910872,0.7072421,0.60245514
162,5184,0.001909616,0.68281648,0.28235587
163,5216,0.0019083517,0.65594754,0.38658306
164,5248,0.0019070791,0.63512832,0.3690646
165,5280,0.0019057982,0.66743049,0.2434023
166,5312,0.001904509,0.62179959,0.38984627
167,5344,0.0019032116,0.67165345,0.54726708
168,5376,0.0019019059,0.66368011,0.36622649
169,5408,0.0019005919,0.64429477,0.50614464
170,5440,0.0018992698,0.61327001,0.49459729
171,5472,0.0018979394,0.62345368,0.61084092
172,5504,0.0018966008,0.62447098,0.54946697
173,5536,0.001895254,0.67410433,0.34556606
174,5568,0.0018938991,0.67700547,0.43003911
175,5600,0.001892536,0.66139081,0.33882865
176,5632,0.0018911647,0.66284114,0.21616592
177,5664,0.0018897854,0.63148311,0.38684317
178,5696,0.0018883979,0.70762506,0.60468739
179,5728,0.0018870023,0.70763355,0.44383156
180,5760,0.0018855986,0.67897668,0.36407754
181,5792,0.0018841868,0.62294498,0.33675995
182,5824,0.001882767,0.71259221,0.43203673
183,5856,0.0018813392,0.68905091,0.49927744
184,5888,0.0018799033,0.64192486,0.39645618
185,5920,0.0018784594,0.65933114,0.33615634
186,5952,0.0018770075,0.63254046,0.37135911
187,5984,0.0018755476,0.67648351,0.29682824
188,6016,0.0018740797,0.65654266,0.65693265
189,6048,0.0018726039,0.69517946,0.41281077
190,6080,0.0018711202,0.76688737,0.91364181
191,6112,0.0018696285,0.67861241,0.42544702
192,6144,0.0018681289,0.570052,0.66710681
193,6176,0.0018666214,0.61489546,0.44771519
194,6208,0.0018651061,0.65287566,0.39639959
195,6240,0.0018635828,0.64858297,0.27846113
196,6272,0.0018620518,0.62595153,0.28945053
197,6304,0.0018605129,0.67511439,0.77188462
198,6336,0.0018589662,0.66324031,0.45440096
199,6368,0.0018574117,0.6649017,0.2844694
200,6400,0.0018558494,0.64662388,0.42951271
201,6432,0.0018542793,0.60375243,0.70950329
202,6464,0.0018527015,0.6802088,0.47811991
203,6496,0.0018511159,0.65324658,0.53879511
204,6528,0.0018495227,0.65152401,0.55338371
205,6560,0.0018479217,0.64805219,0.23830009
206,6592,0.001846313,0.57447448,0.60022795
207,6624,0.0018446967,0.68315485,0.31982565
208,6656,0.0018430727,0.66161993,0.29705861
209,6688,0.0018414411,0.59640992,0.52615464
210,6720,0.0018398019,0.72799957,0.76282126
211,6752,0.001838155,0.67646253,0.48743433
212,6784,0.0018365006,0.61128056,0.32694381
213,6816,0.0018348386,0.65385863,0.60939777
214,6848,0.0018331691,0.63782671,0.41657099
215,6880,0.001831492,0.75670755,1.0443621
216,6912,0.0018298074,0.59513864,0.50771207
217,6944,0.0018281153,0.60236043,0.45664036
218,6976,0.0018264157,0.61541578,0.52099365
219,7008,0.0018247087,0.67687505,0.49808097
220,7040,0.0018229942,0.65486896,0.3889769
221,7072,0.0018212723,0.67824504,0.58909202
222,7104,0.0018195429,0.67294088,0.49541277
223,7136,0.0018178062,0.71905717,0.53256947
224,7168,0.0018160621,0.70665905,0.52194577
225,7200,0.0018143106,0.67676616,0.28645191
226,7232,0.0018125518,0.61419341,0.51409054
227,7264,0.0018107857,0.66574195,0.17869693
228,7296,0.0018090123,0.61729699,0.45152116
229,7328,0.0018072316,0.71005753,0.45989221
230,7360,0.0018054436,0.68140912,0.57762212
231,7392,0.0018036483,0.66723105,0.2810905
232,7424,0.0018018459,0.59672019,0.44391599
233,7456,0.0018000362,0.61939746,0.54785901
234,7488,0.0017982193,0.71158516,0.58592355
235,7520,0.0017963953,0.7631501,0.7455681
236,7552,0.0017945641,0.61539096,0.55201983
237,7584,0.0017927257,0.67231697,0.43795723
238,7616,0.0017908803,0.66972739,0.47769949
239,7648,0.0017890277,0.66597602,0.30711693
240,7680,0.0017871681,0.63444042,0.3681711
241,7712,0.0017853014,0.66126215,0.28032461
242,7744,0.0017834276,0.6671744,0.45797896
243,7776,0.0017815468,0.53980112,0.72945893
244,7808,0.0017796591,0.71539304,0.731933
245,7840,0.0017777643,0.7410056,0.83303094
246,7872,0.0017758626,0.6282033,0.32525527
247,7904,0.0017739539,0.82411924,1.5688014
248,7936,0.0017720383,0.76022026,0.7714442
249,7968,0.0017701158,0.58735505,0.51953089
250,8000,0.0017681865,0.61641294,0.49035451
251,8032,0.0017662502,0.6598869,0.35386047
252,8064,0.0017643071,0.62810612,0.57403499
253,8096,0.0017623572,0.67931849,0.4582324
254,8128,0.0017604004,0.67658201,0.5056138
255,8160,0.0017584369,0.71172461,0.64882541
256,8192,0.0017564666,0.59285879,0.47828954
257,8224,0.0017544896,0.56884637,0.61108458
258,8256,0.0017525058,0.69432828,0.38226113
259,8288,0.0017505154,0.5959335,0.5203684
260,8320,0.0017485182,0.65008825,0.27274638
261,8352,0.0017465144,0.68920386,0.34600002
262,8384,0.001744504,0.69297847,0.33931929
263,8416,0.0017424869,0.68299866,0.48914531
264,8448,0.0017404632,0.68892041,0.28541559
265,8480,0.0017384329,0.67699847,0.34571698
266,8512,0.0017363961,0.71175551,0.52559578
267,8544,0.0017343527,0.67441833,0.19769597
268,8576,0.0017323029,0.68032056,0.1629608
269,8608,0.0017302465,0.64041665,0.46337184
270,8640,0.0017281836,0.61695218,0.47949138
271,8672,0.0017261143,0.67084622,0.21384028
272,8704,0.0017240385,0.65361413,0.21158862
273,8736,0.0017219564,0.6640943,0.2078051
274,8768,0.0017198678,0.65277553,0.32904723
275,8800,0.0017177729,0.70829815,0.5984562
276,8832,0.0017156716,0.67572266,0.63026434
277,8864,0.001713564,0.65905133,0.4816004
278,8896,0.0017114501,0.6077244,0.60916597
279,8928,0.0017093299,0.60634035,0.53274715
280,8960,0.0017072035,0.7397452,0.64878982
281,8992,0.0017050708,0.74625769,0.71325713
282,9024,0.0017029319,0.65330625,0.24296342
283,9056,0.0017007868,0.64229608,0.27103338
284,9088,0.0016986355,0.67031443,0.31075406
285,9120,0.0016964781,0.63117522,0.35358283
286,9152,0.0016943145,0.60120165,0.48482123
287,9184,0.0016921449,0.65816391,0.38723251
288,9216,0.0016899691,0.58364135,0.59401488
289,9248,0.0016877873,0.64096576,0.23588285
290,9280,0.0016855994,0.58916688,0.54172188
291,9312,0.0016834056,0.66643035,0.43675771
292,9344,0.0016812057,0.60702378,0.37628123
293,9376,0.0016789998,0.62064493,0.35063323
294,9408,0.0016767881,0.72468102,1.1286733
295,9440,0.0016745703,0.72260618,0.665214
296,9472,0.0016723467,0.77892309,0.81607282
297,9504,0.0016701172,0.62773874,0.44517943
298,9536,0.0016678818,0.65966895,0.50547129
299,9568,0.0016656406,0.61379105,0.4422726
300,9600,0.0016633936,0.59022105,0.36623496
301,9632,0.0016611408,0.66179004,0.15687665
302,9664,0.0016588823,0.67133015,0.57957315
303,9696,0.0016566179,0.64956573,0.18602446
304,9728,0.0016543479,0.72956586,0.59170735
305,9760,0.0016520722,0.50809765,0.80410659
306,9792,0.0016497908,0.66672519,0.23446575
307,9824,0.0016475037,0.63415256,0.26062194
308,9856,0.001645211,0.66346058,0.3422859
309,9888,0.0016429128,0.76906246,0.62507075
310,9920,0.0016406089,0.69550279,0.36674774
311,9952,0.0016382995,0.69374368,0.3578445
312,9984,0.0016359845,0.67908743,0.41775742
313,10016,0.0016336641,0.64799568,0.263037
314,10048,0.0016313381,0.70191678,0.33609536
315,10080,0.0016290067,0.64858672,0.3213273
316,10112,0.0016266699,0.68061325,0.38486448
317,10144,0.0016243276,0.65126917,0.29180574
318,10176,0.00162198,0.66658747,0.36125982
319,10208,0.001619627,0.62200657,0.41552612
320,10240,0.0016172687,0.68838578,0.26150706
321,10272,0.001614905,0.66704801,0.26165429
322,10304,0.001612536,0.70091498,0.38455075
323,10336,0.0016101618,0.65266478,0.29197013
324,10368,0.0016077824,0.64216825,0.28790656
325,10400,0.0016053977,0.62663525,0.3194266
326,10432,0.0016030078,0.65975666,0.29162648
327,10464,0.0016006128,0.67136365,0.32713208
328,10496,0.0015982126,0.58875516,0.49219501
329,10528,0.0015958073,0.60126808,0.34459966
330,10560,0.0015933969,0.69535449,0.34503847
331,10592,0.0015909814,0.64802411,0.20044199
332,10624,0.0015885609,0.79534954,0.91089547
333,10656,0.0015861354,0.80083302,0.85006636
334,10688,0.0015837048,0.6229158,0.55770159
335,10720,0.0015812693,0.64106151,0.42543837
336,10752,0.0015788289,0.72815681,0.57581139
337,10784,0.0015763835,0.67149389,0.2957361
338,10816,0.0015739332,0.6328977,0.35524198
339,10848,0.0015714781,0.63536388,0.44888204
340,10880,0.0015690181,0.64435515,0.21309516
341,10912,0.0015665533,0.65674037,0.25515985
342,10944,0.0015640837,0.62456053,0.34517434
343,10976,0.0015616093,0.62998697,0.26586404
344,11008,0.0015591302,0.63408285,0.2556642
345,11040,0.0015566464,0.63137493,0.28204608
346,11072,0.0015541579,0.63384163,0.29105642
347,11104,0.0015516647,0.64476633,0.24721263
348,11136,0.0015491669,0.65176526,0.42141271
349,11168,0.0015466644,0.74097225,0.68631417
350,11200,0.0015441574,0.65902346,0.48305362
351,11232,0.0015416458,0.69823354,0.47582552
352,11264,0.0015391297,0.77456078,0.84935045
353,11296,0.001536609,0.68613949,0.5888294
354,11328,0.0015340839,0.75261712,0.77493393
355,11360,0.0015315543,0.6808064,0.2602092
356,11392,0.0015290202,0.61182281,0.42412201
357,11424,0.0015264818,0.65383399,0.36189094
358,11456,0.001523939,0.70424289,0.48414502
359,11488,0.0015213918,0.60091826,0.53439111
360,11520,0.0015188403,0.69253436,0.3057926
361,11552,0.0015162845,0.6633054,0.35306403
362,11584,0.0015137244,0.67439264,0.28444108
363,11616,0.00151116,0.60525513,0.39086166
364,11648,0.0015085914,0.59675243,0.43303269
365,11680,0.0015060187,0.62983808,0.43770027
366,11712,0.0015034417,0.6601873,0.37574059
367,11744,0.0015008606,0.64387643,0.3930369
368,11776,0.0014982754,0.62213176,0.36762357
369,11808,0.0014956861,0.58132651,0.58507121
370,11840,0.0014930928,0.6783227,0.37770453
371,11872,0.0014904954,0.69435278,0.45546925
372,11904,0.0014878939,0.65923011,0.57096756
373,11936,0.0014852885,0.68184572,0.49388474
374,11968,0.0014826792,0.53739256,0.91093266
375,12000,0.0014800659,0.71096337,0.4927552
376,12032,0.0014774487,0.69166258,0.43189469
377,12064,0.0014748276,0.60174304,0.46565536
