step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.70040455,0.51313972
2,64,0.0002,0.69420868,0.34780172
3,96,0.0003,0.69502556,0.31639922
4,128,0.0004,0.70219722,0.44976744
5,160,0.0005,0.69239983,0.28033862
6,192,0.0006,0.69053227,0.29231879
7,224,0.0007,0.69558358,0.28534749
8,256,0.0008,0.69657019,0.40262538
9,288,0.0009,0.68653917,0.29131582
10,320,0.001,0.69322783,0.34170604
11,352,0.0011,0.67875424,0.32571229
12,384,0.0012,0.67494908,0.33238921
13,416,0.0013,0.70312616,0.34847802
14,448,0.0014,0.67059597,0.37034321
15,480,0.0015,0.72150141,0.33824852
16,512,0.0016,0.71665064,0.36799917
17,544,0.0017,0.70032328,0.31642365
18,576,0.0018,0.67355061,0.28148562
19,608,0.0019,0.71762317,0.39718741
20,640,0.002,0.68936217,0.3047438
21,672,0.002,0.62232497,0.45849973
22,704,0.0019999954,0.6457673,0.36486211
23,736,0.0019999815,0.65002245,0.35531884
24,768,0.0019999584,0.70025092,0.55563021
25,800,0.001999926,0.69402924,0.2983714
26,832,0.0019998844,0.6762906,0.3350262
27,864,0.0019998335,0.7080459,0.43497235
28,896,0.0019997734,0.66204,0.3429271
29,928,0.0019997041,0.69054025,0.4894588
30,960,0.0019996254,0.67977768,0.35321793
31,992,0.0019995376,0.71759981,0.47107592
32,1024,0.0019994405,0.66980046,0.58102268
33,1056,0.0019993342,0.74155825,0.49640372
34,1088,0.0019992186,0.73699838,0.53088927
35,1120,0.0019990938,0.64271569,0.58361512
36,1152,0.0019989597,0.67210284,0.4060922
37,1184,0.0019988164,0.66203281,0.3458488
38,1216,0.0019986639,0.72373044,0.45059103
39,1248,0.0019985021,0.73223975,0.51731414
40,1280,0.0019983311,0.72639239,0.48860413
41,1312,0.0019981509,0.6943751,0.31919152
42,1344,0.0019979614,0.71701515,0.45784694
43,1376,0.0019977627,0.65298319,0.35335681
44,1408,0.0019975548,0.69901711,0.31466493
45,1440,0.0019973376,0.69611371,0.31105107
46,1472,0.0019971113,0.66971695,0.31695637
47,1504,0.0019968757,0.72108319,0.54845881
48,1536,0.0019966309,0.65900344,0.3106356
49,1568,0.0019963769,0.67828545,0.24611059
50,1600,0.0019961136,0.66287875,0.31614661
51,1632,0.0019958412,0.68075001,0.26736307
52,1664,0.0019955596,0.69352138,0.25919989
53,1696,0.0019952687,0.68267885,0.25132853
54,1728,0.0019949687,0.69012737,0.20714799
55,1760,0.0019946594,0.66271153,0.30676445
56,1792,0.001994341,0.69818857,0.43455544
57,1824,0.0019940134,0.66992652,0.4248054
58,1856,0.0019936765,0.68208116,0.27830216
59,1888,0.0019933305,0.68084541,0.36042774
60,1920,0.0019929754,0.69217819,0.24832986
61,1952,0.001992611,0.64647073,0.30715597
62,1984,0.0019922375,0.68705299,0.31743947
63,2016,0.0019918548,0.66617551,0.29500771
64,2048,0.0019914629,0.76420438,0.71446753
65,2080,0.0019910619,0.65988797,0.30529654
66,2112,0.0019906517,0.66486067,0.27982798
67,2144,0.0019902324,0.71700639,0.36789295
68,2176,0.0019898039,0.59851396,0.43886176
69,2208,0.0019893663,0.66486412,0.25695497
70,2240,0.0019889195,0.67701161,0.27902296
71,2272,0.0019884636,0.68124878,0.38448367
72,2304,0.0019879986,0.7237542,0.57396585
73,2336,0.0019875244,0.60461518,0.35261822
74,2368,0.0019870411,0.69810349,0.34018695
75,2400,0.0019865487,0.69412908,0.38046026
76,2432,0.0019860472,0.67258716,0.25539944
77,2464,0.0019855366,0.66131431,0.30795145
78,2496,0.0019850169,0.64006397,0.30879459
79,2528,0.0019844881,0.63400474,0.41505009
80,2560,0.0019839502,0.60862654,0.52076423
81,2592,0.0019834032,0.71186486,0.40663269
82,2624,0.0019828472,0.6792165,0.41299748
83,2656,0.0019822821,0.66992044,0.33099663
84,2688,0.0019817079,0.72870728,0.47548693
85,2720,0.0019811246,0.53834993,0.65877873
86,2752,0.0019805323,0.77894214,0.80341345
87,2784,0.0019799309,0.71862915,0.54588473
88,2816,0.0019793205,0.64484853,0.37730572
89,2848,0.0019787011,0.69977254,0.47815123
90,2880,0.0019780726,0.61583331,0.36841598
91,2912,0.0019774351,0.8074705,0.88330603
92,2944,0.0019767886,0.71015844,0.38984951
93,2976,0.0019761331,0.72645164,0.41219765
94,3008,0.0019754686,0.68921396,0.32981816
95,3040,0.001974795,0.68506426,0.38555843
96,3072,0.0019741125,0.68016487,0.2897976
97,3104,0.001973421,0.68162903,0.25945145
98,3136,0.0019727206,0.68619397,0.37271881
99,3168,0.0019720111,0.66022798,0.34466994
100,3200,0.0019712927,0.70193931,0.3132872
101,3232,0.0019705654,0.7131325,0.41606706
102,3264,0.0019698291,0.71415472,0.52371341
103,3296,0.0019690838,0.676272,0.2534824
104,3328,0.0019683297,0.68559676,0.41588065
105,3360,0.0019675666,0.67426533,0.29852918
106,3392,0.0019667946,0.67891723,0.2655521
107,3424,0.0019660136,0.68165392,0.26368576
108,3456,0.0019652238,0.68456742,0.4028503
109,3488,0.0019644251,0.68268046,0.24614476
110,3520,0.0019636175,0.67311966,0.24171177
111,3552,0.0019628011,0.70685118,0.34470662
112,3584,0.0019619757,0.67674908,0.26055822
113,3616,0.0019611415,0.71611416,0.4308798
114,3648,0.0019602985,0.67699763,0.25097218
115,3680,0.0019594466,0.66373333,0.46412066
116,3712,0.0019585859,0.67933798,0.31031373
117,3744,0.0019577164,0.69442096,0.2812691
118,3776,0.001956838,0.67820966,0.3525264
119,3808,0.0019559509,0.66054517,0.26596928
120,3840,0.0019550549,0.70839742,0.4576782
121,3872,0.0019541502,0.67546481,0.21623458
122,3904,0.0019532367,0.69356135,0.29206988
123,3936,0.0019523144,0.71211091,0.38661653
124,3968,0.0019513833,0.67024159,0.24747995
125,4000,0.0019504435,0.68771356,0.31905535
126,4032,0.001949495,0.6686362,0.33163571
127,4064,0.0019485377,0.63626903,0.40361464
128,4096,0.0019475718,0.70529732,0.31233248
129,4128,0.0019465971,0.7230466,0.43169647
130,4160,0.0019456137,0.73215085,0.48471963
