step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69525051,0.17427222
2,64,0.0002,0.693059,0.17498255
3,96,0.0003,0.69373232,0.17272615
4,128,0.0004,0.6895237,0.20018393
5,160,0.0005,0.69308525,0.17505002
6,192,0.0006,0.6904594,0.17462213
7,224,0.0007,0.69785234,0.18549365
8,256,0.0008,0.69723409,0.20186402
9,288,0.0009,0.69236258,0.1549537
10,320,0.001,0.68885908,0.189972
11,352,0.0011,0.69623891,0.17293961
12,384,0.0012,0.6955044,0.18145695
13,416,0.0013,0.70207709,0.20107926
14,448,0.0014,0.68992537,0.16765262
15,480,0.0015,0.69396651,0.17629224
16,512,0.0016,0.69463265,0.14452696
17,544,0.0017,0.68742499,0.19328572
18,576,0.0018,0.70110166,0.16991915
19,608,0.0019,0.69507706,0.16454127
20,640,0.002,0.68025613,0.18984491
21,672,0.002,0.69797084,0.18019231
22,704,0.0019999954,0.68192503,0.16425911
23,736,0.0019999815,0.68510687,0.15569508
24,768,0.0019999584,0.66835287,0.20821705
25,800,0.001999926,0.67795399,0.17916322
26,832,0.0019998844,0.6589227,0.2423144
27,864,0.0019998335,0.68776172,0.20164143
28,896,0.0019997734,0.70896384,0.24271706
29,928,0.0019997041,0.68289503,0.2021293
30,960,0.0019996254,0.69378152,0.2279052
31,992,0.0019995376,0.71780854,0.26352108
32,1024,0.0019994405,0.66572952,0.21665934
33,1056,0.0019993342,0.6919668,0.18297328
34,1088,0.0019992186,0.69518068,0.2085616
35,1120,0.0019990938,0.70912904,0.25164276
36,1152,0.0019989597,0.71674815,0.2771892
37,1184,0.0019988164,0.72459999,0.31436235
38,1216,0.0019986639,0.70493567,0.25245112
39,1248,0.0019985021,0.6734142,0.18689029
40,1280,0.0019983311,0.66211477,0.20587608
41,1312,0.0019981509,0.68671781,0.15860203
42,1344,0.0019979614,0.71053591,0.19868876
43,1376,0.0019977627,0.69382799,0.19696771
44,1408,0.0019975548,0.71295094,0.19774199
45,1440,0.0019973376,0.6768344,0.20351039
