step,windows,learning_rate,loss,grad_norm
1,32,4e-05,10.463876,2.8335202
2,64,8e-05,10.369911,2.8685124
3,96,0.00012,10.220385,2.411967
4,128,0.00016,10.095395,1.8810725
5,160,0.0002,9.9391506,2.1611757
6,192,0.00024,9.93082,1.850461
7,224,0.00028,9.8000194,1.7541832
8,256,0.00032,9.724099,2.0472381
9,288,0.00036,9.7039003,1.6979307
10,320,0.0004,9.5660269,1.9686584
11,352,0.00044,9.4425626,1.6392406
12,384,0.00048,9.330063,1.498016
13,416,0.00052,9.0843465,2.0443485
14,448,0.00056,9.0333686,1.4488139
15,480,0.0006,8.8053925,1.4670863
16,512,0.0006,8.6481847,1.4837377
17,544,0.00059999762,8.3950456,1.6371315
18,576,0.00059999047,8.2206182,1.4815948
19,608,0.00059997857,7.9659296,1.6406173
20,640,0.0005999619,7.7886647,1.497871
21,672,0.00059994047,7.5888529,1.4814585
22,704,0.00059991427,7.3701515,1.4839523
23,736,0.00059988332,7.2207465,1.3807492
24,768,0.00059984761,7.0455879,1.2928326
25,800,0.00059980713,6.8487936,1.2753493
26,832,0.0005997619,6.7857192,5.7761803
27,864,0.0005997119,6.4697806,1.4519384
28,896,0.00059965715,6.2936715,1.5494022
29,928,0.00059959765,6.1165409,1.6911176
30,960,0.00059953338,6.0260242,1.4860173
31,992,0.00059946436,5.9296892,1.46207
32,1024,0.00059939059,5.8703745,1.2739378
33,1056,0.00059931207,5.7809969,1.0721662
34,1088,0.0005992288,5.619692,1.4023539
35,1120,0.00059914077,5.5890998,1.2196566
36,1152,0.000599048,5.5409698,1.5163679
37,1184,0.00059895049,5.5566705,5.3414178
38,1216,0.00059884823,5.3694121,1.3419571
39,1248,0.00059874122,5.394007,1.0789589
40,1280,0.00059862948,5.3561631,0.91353261
41,1312,0.000598513,5.3631592,0.89592326
42,1344,0.00059839178,5.3286176,0.9165141
43,1376,0.00059826583,5.1812508,1.3811054
44,1408,0.00059813514,5.1887125,1.2299938
45,1440,0.00059799973,5.129469,1.315763
46,1472,0.00059785958,5.0942873,1.3054698
47,1504,0.00059771472,5.1742006,0.92716038
48,1536,0.00059756513,5.0874726,1.2307363
49,1568,0.00059741082,5.0570517,1.0414535
50,1600,0.00059725179,5.0389671,1.0807669
51,1632,0.00059708805,5.0877706,0.91179329
52,1664,0.0005969196,5.0059981,1.0594299
53,1696,0.00059674643,4.8607169,1.278048
54,1728,0.00059656857,5.0250482,0.89951509
55,1760,0.000596386,4.9625942,0.97106212
56,1792,0.00059619873,5.0032632,0.82145953
57,1824,0.00059600677,5.0022615,0.79807836
58,1856,0.00059581011,4.8950384,0.9309504
59,1888,0.00059560877,4.9139233,0.83345664
60,1920,0.00059540274,4.7380654,1.0791136
61,1952,0.00059519203,4.944272,0.71435666
62,1984,0.00059497664,4.691523,0.97900802
63,2016,0.00059475657,4.7400798,0.85938227
64,2048,0.00059453184,4.9295668,0.58325565
65,2080,0.00059430244,4.9866853,0.52294874
66,2112,0.00059406837,4.8201669,0.62599593
67,2144,0.00059382965,4.7060751,0.67887801
68,2176,0.00059358628,4.8325729,0.54313779
69,2208,0.00059333825,4.9378013,0.43408647
