step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.6927526,0.065001786
2,64,0.0002,0.69436067,0.04839576
3,96,0.0003,0.69225806,0.057323884
4,128,0.0004,0.69205537,0.067642674
5,160,0.0005,0.69149303,0.044833764
6,192,0.0006,0.69037294,0.064441562
7,224,0.0007,0.69346112,0.082459562
8,256,0.0008,0.68800616,0.076078124
9,288,0.0009,0.69202998,0.075400226
10,320,0.001,0.69652593,0.048703238
11,352,0.0011,0.69042164,0.0558278
12,384,0.0012,0.6919134,0.049734104
13,416,0.0013,0.67816144,0.095632166
14,448,0.0014,0.67268279,0.12212283
15,480,0.0015,0.67965057,0.089531913
16,512,0.0016,0.68935919,0.039834537
17,544,0.0017,0.66874748,0.10489036
18,576,0.0018,0.67811689,0.052892365
19,608,0.0019,0.69967127,0.087659925
20,640,0.002,0.67487335,0.17882663
21,672,0.002,0.68044734,0.066439107
22,704,0.0019999954,0.65863752,0.17038482
23,736,0.0019999815,0.699705,0.17956042
24,768,0.0019999584,0.69206563,0.12418877
25,800,0.001999926,0.66374129,0.13506688
26,832,0.0019998844,0.68826324,0.7829023
27,864,0.0019998335,0.66448584,0.28729692
28,896,0.0019997734,0.75886911,0.57966679
29,928,0.0019997041,0.65283367,0.88216239
30,960,0.0019996254,0.68133393,0.44939393
31,992,0.0019995376,0.65115765,0.17333694
32,1024,0.0019994405,0.68314782,0.58307052
33,1056,0.0019993342,0.64544699,0.38994634
34,1088,0.0019992186,0.70184031,0.51439315
35,1120,0.0019990938,0.71181139,0.14016187
36,1152,0.0019989597,0.66303623,0.11456715
37,1184,0.0019988164,0.70897186,0.47189662
38,1216,0.0019986639,0.67061415,0.51071787
39,1248,0.0019985021,0.69155979,0.3557978
40,1280,0.0019983311,0.56758124,0.39796183
41,1312,0.0019981509,0.63195905,0.26683271
42,1344,0.0019979614,0.72965199,0.32229093
43,1376,0.0019977627,0.6331833,0.31004459
44,1408,0.0019975548,0.69108284,0.26294559
45,1440,0.0019973376,0.64173713,0.36193997
46,1472,0.0019971113,0.65136901,0.098992504
47,1504,0.0019968757,0.64048326,0.33172709
48,1536,0.0019966309,0.63290423,0.36703962
49,1568,0.0019963769,0.64316055,0.30427051
50,1600,0.0019961136,0.71463618,0.31418827
51,1632,0.0019958412,0.63268346,0.12794565
52,1664,0.0019955596,0.61371243,0.15125658
53,1696,0.0019952687,0.68976143,0.727319
54,1728,0.0019949687,0.59283081,0.37150937
55,1760,0.0019946594,0.62729612,0.14277229
56,1792,0.001994341,0.66963983,0.14905317
57,1824,0.0019940134,0.65405732,0.48360097
58,1856,0.0019936765,0.63066697,0.28834429
59,1888,0.0019933305,0.62655082,0.42709932
60,1920,0.0019929754,0.6140582,0.27034295
61,1952,0.001992611,0.90128943,1.3072885
62,1984,0.0019922375,0.61579403,0.52087289
63,2016,0.0019918548,0.64991552,0.3166455
64,2048,0.0019914629,0.58357009,0.16318285
65,2080,0.0019910619,0.6947647,0.72676551
66,2112,0.0019906517,0.77947754,1.2695982
67,2144,0.0019902324,0.59643653,0.29598317
68,2176,0.0019898039,0.6114642,0.14762661
69,2208,0.0019893663,0.71363834,0.53407693
70,2240,0.0019889195,0.61168063,0.69849402
71,2272,0.0019884636,0.57402223,0.48729852
72,2304,0.0019879986,0.65999979,0.17762034
73,2336,0.0019875244,0.72203875,0.45389673
74,2368,0.0019870411,0.69301692,0.29054525
75,2400,0.0019865487,0.69416356,0.26292938
76,2432,0.0019860472,0.62478107,0.15610123
77,2464,0.0019855366,0.71527886,0.309623
78,2496,0.0019850169,0.76972672,0.36464748
79,2528,0.0019844881,0.69905522,0.231938
80,2560,0.0019839502,0.70607957,0.52539301
81,2592,0.0019834032,0.7561177,0.53462434
82,2624,0.0019828472,0.64638317,0.14007902
83,2656,0.0019822821,0.64304665,0.12882647
84,2688,0.0019817079,0.71067813,0.21128209
85,2720,0.0019811246,0.6499303,0.082859144
86,2752,0.0019805323,0.66985214,0.094527282
87,2784,0.0019799309,0.6446653,0.21620305
88,2816,0.0019793205,0.61960456,0.23332474
89,2848,0.0019787011,0.69023144,0.067958429
90,2880,0.0019780726,0.66256973,0.10603325
91,2912,0.0019774351,0.62936938,0.22274081
92,2944,0.0019767886,0.61938047,0.29074371
93,2976,0.0019761331,0.70754287,0.16394901
94,3008,0.0019754686,0.60191321,0.32712787
95,3040,0.001974795,0.60307813,0.26204559
96,3072,0.0019741125,0.62902755,0.19435459
97,3104,0.001973421,0.70650315,0.21598099
98,3136,0.0019727206,0.69969735,0.12236391
99,3168,0.0019720111,0.66060755,0.15835702
100,3200,0.0019712927,0.65415576,0.12811482
101,3232,0.0019705654,0.6288285,0.22126062
102,3264,0.0019698291,0.7301513,0.27067494
103,3296,0.0019690838,0.64378124,0.096229143
104,3328,0.0019683297,0.66050637,0.37214044
105,3360,0.0019675666,0.65682012,0.22534758
106,3392,0.0019667946,0.68092501,0.42486194
107,3424,0.0019660136,0.62912908,0.27632123
108,3456,0.0019652238,0.64721233,0.37893015
109,3488,0.0019644251,0.62365746,0.14434516
110,3520,0.0019636175,0.62790844,0.11746623
111,3552,0.0019628011,0.62050593,0.14663686
112,3584,0.0019619757,0.5750013,0.2886515
113,3616,0.0019611415,0.51242077,0.41159365
114,3648,0.0019602985,0.6508711,0.058532786
115,3680,0.0019594466,0.68942913,0.37371054
116,3712,0.0019585859,0.6617803,0.3544957
117,3744,0.0019577164,0.65669778,0.56769979
118,3776,0.001956838,0.64776585,0.67629272
119,3808,0.0019559509,0.63194513,0.48542422
120,3840,0.0019550549,0.58718872,0.3780109
121,3872,0.0019541502,0.64679238,0.1561034
122,3904,0.0019532367,0.68012416,0.58639961
123,3936,0.0019523144,0.69435075,0.22898984
124,3968,0.0019513833,0.73486683,0.5881834
125,4000,0.0019504435,0.71100885,0.40299135
126,4032,0.001949495,0.63208812,0.48176736
127,4064,0.0019485377,0.65352297,0.10451075
128,4096,0.0019475718,0.6853568,0.79928428
129,4128,0.0019465971,0.70485225,0.26495868
130,4160,0.0019456137,0.59523702,0.45010763
131,4192,0.0019446216,0.73243865,1.0786585
132,4224,0.0019436208,0.61987589,0.13597806
133,4256,0.0019426114,0.59787112,0.35693181
134,4288,0.0019415933,0.70894733,0.39202124
135,4320,0.0019405666,0.71496055,0.85114294
136,4352,0.0019395312,0.63955659,0.29249692
137,4384,0.0019384872,0.63207859,0.52513826
138,4416,0.0019374345,0.74383664,0.40469578
139,4448,0.0019363733,0.64474201,0.69294751
140,4480,0.0019353035,0.61138958,0.568618
141,4512,0.0019342251,0.68310642,0.63328701
142,4544,0.0019331381,0.63041621,0.4129194
143,4576,0.0019320426,0.61897144,0.34371251
144,4608,0.0019309385,0.66642702,0.35099885
145,4640,0.0019298258,0.62703323,0.36244971
146,4672,0.0019287047,0.69316071,0.12542057
147,4704,0.001927575,0.59924966,0.26439789
148,4736,0.0019264368,0.62092054,0.14998703
149,4768,0.0019252901,0.67348784,0.10650436
150,4800,0.001924135,0.62264287,0.18720561
151,4832,0.0019229714,0.61880961,0.59049886
152,4864,0.0019217993,0.59349382,0.20602582
153,4896,0.0019206188,0.67463145,0.2545934
154,4928,0.0019194298,0.71862829,0.30356815
155,4960,0.0019182324,0.71077636,0.47413817
156,4992,0.0019170266,0.62269935,0.24102686
157,5024,0.0019158124,0.58457285,0.23670466
158,5056,0.0019145899,0.62878627,0.11032049
159,5088,0.0019133589,0.73645881,0.40887883
160,5120,0.0019121196,0.62122941,0.53674531
161,5152,0.001910872,0.62068993,0.39964557
162,5184,0.001909616,0.53105396,0.35779548
163,5216,0.0019083517,0.75622058,0.52921355
164,5248,0.0019070791,0.61324278,0.18789512
165,5280,0.0019057982,0.71253538,0.38732183
166,5312,0.001904509,0.68548971,0.49175003
167,5344,0.0019032116,0.6070624,0.26637
168,5376,0.0019019059,0.6609731,0.34640396
169,5408,0.0019005919,0.72206402,0.77081352
170,5440,0.0018992698,0.69383284,0.63633823
171,5472,0.0018979394,0.61259398,0.16720676
172,5504,0.0018966008,0.77657199,0.89092791
173,5536,0.001895254,0.59552228,0.32284304
174,5568,0.0018938991,0.68496808,0.84775555
175,5600,0.001892536,0.63628441,0.14329672
176,5632,0.0018911647,0.66339552,0.62702918
177,5664,0.0018897854,0.60820943,0.60475957
178,5696,0.0018883979,0.68719798,0.4623096
179,5728,0.0018870023,0.73143873,0.2968564
180,5760,0.0018855986,0.65278649,0.29674843
181,5792,0.0018841868,0.6417945,0.54952484
182,5824,0.001882767,0.64014128,0.47821003
183,5856,0.0018813392,0.64037004,0.12384992
184,5888,0.0018799033,0.6113725,0.20199162
185,5920,0.0018784594,0.56756291,0.43720934
186,5952,0.0018770075,0.60921434,0.60889131
187,5984,0.0018755476,0.58216798,0.28334776
188,6016,0.0018740797,0.64768946,0.25110421
189,6048,0.0018726039,0.67893401,0.62035835
190,6080,0.0018711202,0.64892164,0.22078028
191,6112,0.0018696285,0.70875353,0.23999871
192,6144,0.0018681289,0.58424196,0.37648383
193,6176,0.0018666214,0.69201425,0.19837655
194,6208,0.0018651061,0.70851186,0.37694317
195,6240,0.0018635828,0.61154869,0.17580298
196,6272,0.0018620518,0.64508161,0.286138
197,6304,0.0018605129,0.60665724,0.47307837
198,6336,0.0018589662,0.67826641,0.31730491
199,6368,0.0018574117,0.58011919,0.30807981
200,6400,0.0018558494,0.64222097,0.48283836
201,6432,0.0018542793,0.59650117,0.31249207
202,6464,0.0018527015,0.59145284,0.16409451
203,6496,0.0018511159,0.69181132,0.38066125
204,6528,0.0018495227,0.64499849,0.060812101
205,6560,0.0018479217,0.75271288,0.35488403
206,6592,0.001846313,0.65500188,0.17523375
207,6624,0.0018446967,0.61772445,0.17694724
208,6656,0.0018430727,0.6606124,0.16886082
209,6688,0.0018414411,0.55615869,0.33966926
210,6720,0.0018398019,0.6540525,0.2029517
211,6752,0.001838155,0.64560354,0.40407017
212,6784,0.0018365006,0.57830882,0.24568005
213,6816,0.0018348386,0.76493552,0.43634984
214,6848,0.0018331691,0.75265506,0.31709281
215,6880,0.001831492,0.66995713,0.20687346
216,6912,0.0018298074,0.61528158,0.35577592
217,6944,0.0018281153,0.59318265,0.2549088
218,6976,0.0018264157,0.72713256,0.46613243
219,7008,0.0018247087,0.65056187,0.36159906
220,7040,0.0018229942,0.69987899,0.24045853
221,7072,0.0018212723,0.60731226,0.26934031
222,7104,0.0018195429,0.73666754,0.29241261
223,7136,0.0018178062,0.61548361,0.1283537
224,7168,0.0018160621,0.60686776,0.19023173
225,7200,0.0018143106,0.71403006,0.47102737
226,7232,0.0018125518,0.63891023,0.25194138
227,7264,0.0018107857,0.58732304,0.27526122
228,7296,0.0018090123,0.6579738,0.46199992
229,7328,0.0018072316,0.65904167,0.13138953
230,7360,0.0018054436,0.64437595,0.32332471
231,7392,0.0018036483,0.65487915,0.42658156
232,7424,0.0018018459,0.62509876,0.35467964
233,7456,0.0018000362,0.76803792,0.50685143
234,7488,0.0017982193,0.66443837,0.59601492
235,7520,0.0017963953,0.61228359,0.37421817
236,7552,0.0017945641,0.64733401,0.14341351
237,7584,0.0017927257,0.64133295,0.31573102
238,7616,0.0017908803,0.65215617,0.31707218
239,7648,0.0017890277,0.71743086,0.36150244
240,7680,0.0017871681,0.64180377,0.22976056
241,7712,0.0017853014,0.67590943,0.15801364
242,7744,0.0017834276,0.66148195,0.25432795
243,7776,0.0017815468,0.66186264,0.30588686
244,7808,0.0017796591,0.58301783,0.21300265
245,7840,0.0017777643,0.67262867,0.30566287
246,7872,0.0017758626,0.6157763,0.54723376
247,7904,0.0017739539,0.59423789,0.23223177
248,7936,0.0017720383,0.71544367,0.2327597
249,7968,0.0017701158,0.65507478,0.74473053
250,8000,0.0017681865,0.596513,0.53407592
251,8032,0.0017662502,0.68928552,0.17100525
252,8064,0.0017643071,0.65634108,0.19284795
253,8096,0.0017623572,0.7004686,0.69815588
254,8128,0.0017604004,0.71245149,0.81371087
255,8160,0.0017584369,0.66442618,0.20545579
256,8192,0.0017564666,0.66493231,0.5643599
257,8224,0.0017544896,0.64761236,0.2206226
258,8256,0.0017525058,0.60743517,0.31913093
259,8288,0.0017505154,0.69948053,0.21524853
260,8320,0.0017485182,0.64176533,0.18407166
261,8352,0.0017465144,0.7000936,0.16750349
262,8384,0.001744504,0.67590925,0.13651304
263,8416,0.0017424869,0.64543366,0.23135574
264,8448,0.0017404632,0.68100423,0.19480544
265,8480,0.0017384329,0.63999233,0.12147
266,8512,0.0017363961,0.63610154,0.13962571
267,8544,0.0017343527,0.61531755,0.23680103
268,8576,0.0017323029,0.72314686,0.44144842
269,8608,0.0017302465,0.63128915,0.1755885
270,8640,0.0017281836,0.67994854,0.25022933
271,8672,0.0017261143,0.63742894,0.26881859
272,8704,0.0017240385,0.62394017,0.17746271
273,8736,0.0017219564,0.65185317,0.42421943
274,8768,0.0017198678,0.6524528,0.086341284
275,8800,0.0017177729,0.58614361,0.26462141
276,8832,0.0017156716,0.61091506,0.17983222
277,8864,0.001713564,0.71935791,0.40219569
278,8896,0.0017114501,0.68023735,0.15553506
279,8928,0.0017093299,0.65288284,0.16393711
280,8960,0.0017072035,0.64705238,0.37586474
281,8992,0.0017050708,0.62756428,0.33676046
282,9024,0.0017029319,0.71217781,0.35821006
283,9056,0.0017007868,0.6672844,0.44732505
284,9088,0.0016986355,0.59481582,0.16948812
285,9120,0.0016964781,0.6532582,0.13034651
286,9152,0.0016943145,0.67723146,0.17299306
287,9184,0.0016921449,0.5974322,0.48875314
288,9216,0.0016899691,0.69211543,0.35659736
289,9248,0.0016877873,0.67280275,0.10419025
290,9280,0.0016855994,0.57119769,0.7058627
291,9312,0.0016834056,0.67606336,0.33908445
292,9344,0.0016812057,0.63980919,0.28451851
293,9376,0.0016789998,0.69809169,0.35484067
294,9408,0.0016767881,0.60361555,0.40281269
295,9440,0.0016745703,0.66087556,0.45057222
296,9472,0.0016723467,0.61685252,0.13878374
297,9504,0.0016701172,0.64419094,0.38531771
298,9536,0.0016678818,0.59017336,0.43823799
299,9568,0.0016656406,0.61130863,0.70008832
300,9600,0.0016633936,0.72031218,0.45878518
301,9632,0.0016611408,0.57162273,0.38342494
302,9664,0.0016588823,0.69456857,0.74519527
303,9696,0.0016566179,0.66361606,0.3160595
304,9728,0.0016543479,0.66131738,0.2773225
305,9760,0.0016520722,0.7489984,0.92207098
306,9792,0.0016497908,0.65145409,0.6356619
307,9824,0.0016475037,0.63134706,0.20041133
308,9856,0.001645211,0.66815835,0.42496541
309,9888,0.0016429128,0.758737,0.4765439
310,9920,0.0016406089,0.60431844,0.61062896
311,9952,0.0016382995,0.62907246,0.27692226
312,9984,0.0016359845,0.64798361,0.6344496
313,10016,0.0016336641,0.624751,0.46422717
314,10048,0.0016313381,0.54190657,0.32713181
315,10080,0.0016290067,0.69766206,0.14070088
316,10112,0.0016266699,0.7314021,0.228155
317,10144,0.0016243276,0.58475631,0.23238835
318,10176,0.00162198,0.60378987,0.22164339
319,10208,0.001619627,0.63375482,0.28425002
320,10240,0.0016172687,0.72019374,0.65945011
321,10272,0.001614905,0.60013813,0.14103372
322,10304,0.001612536,0.60829636,0.24118035
323,10336,0.0016101618,0.61965567,0.27078798
324,10368,0.0016077824,0.61171454,0.31853038
325,10400,0.0016053977,0.69916356,0.75849462
326,10432,0.0016030078,0.64678961,0.69967908
327,10464,0.0016006128,0.65160736,0.44822055
328,10496,0.0015982126,0.70341927,0.68812764
329,10528,0.0015958073,0.64044583,0.80499285
330,10560,0.0015933969,0.63961902,0.32950628
331,10592,0.0015909814,0.57875678,0.21411738
332,10624,0.0015885609,0.66885608,0.70719796
333,10656,0.0015861354,0.59841463,0.3296181
334,10688,0.0015837048,0.61752185,0.19066343
335,10720,0.0015812693,0.67410433,0.2651777
336,10752,0.0015788289,0.65023431,0.45531866
337,10784,0.0015763835,0.68930158,0.55395204
338,10816,0.0015739332,0.62669203,0.72865087
339,10848,0.0015714781,0.59844241,0.50731009
340,10880,0.0015690181,0.61976141,0.25827083
341,10912,0.0015665533,0.74721581,0.57312125
342,10944,0.0015640837,0.63234901,0.18355395
343,10976,0.0015616093,0.65850338,0.60484898
344,11008,0.0015591302,0.64102164,0.72730315
345,11040,0.0015566464,0.58309516,0.26617754
346,11072,0.0015541579,0.66805732,0.30025807
347,11104,0.0015516647,0.71879631,0.56282341
348,11136,0.0015491669,0.72033653,0.55508918
349,11168,0.0015466644,0.67150691,0.16596991
350,11200,0.0015441574,0.7041811,0.16451485
351,11232,0.0015416458,0.58779538,0.24880634
352,11264,0.0015391297,0.66176948,0.40655258
353,11296,0.001536609,0.60537812,0.27857488
354,11328,0.0015340839,0.5592134,0.38924447
355,11360,0.0015315543,0.66544145,0.37021783
356,11392,0.0015290202,0.66637105,0.32930639
357,11424,0.0015264818,0.64512363,0.19708693
358,11456,0.001523939,0.7186245,0.83422869
359,11488,0.0015213918,0.69615629,0.3443754
360,11520,0.0015188403,0.66435146,0.17040519
361,11552,0.0015162845,0.61305889,0.21565555
362,11584,0.0015137244,0.63240772,0.61117387
363,11616,0.00151116,0.67629978,0.69267774
364,11648,0.0015085914,0.62552881,0.17580414
365,11680,0.0015060187,0.61959237,0.12308551
366,11712,0.0015034417,0.56643426,0.44060621
367,11744,0.0015008606,0.67047679,0.089288674
368,11776,0.0014982754,0.65156186,0.53170973
369,11808,0.0014956861,0.5972932,0.31579062
370,11840,0.0014930928,0.69391036,0.21023752
371,11872,0.0014904954,0.62390238,0.3361173
372,11904,0.0014878939,0.58220649,0.55377752
373,11936,0.0014852885,0.70583367,0.59732574
374,11968,0.0014826792,0.73368263,0.26243645
375,12000,0.0014800659,0.70617312,0.44207928
376,12032,0.0014774487,0.64974159,0.62208682
377,12064,0.0014748276,0.70927441,0.27635485
378,12096,0.0014722027,0.63732922,0.19731098
379,12128,0.0014695739,0.6213668,0.13650052
380,12160,0.0014669413,0.66779694,0.21038263
381,12192,0.001464305,0.57218683,0.35800013
382,12224,0.0014616649,0.6104818,0.19100529
383,12256,0.0014590211,0.66621575,0.27044323
384,12288,0.0014563737,0.69429356,0.12315933
385,12320,0.0014537225,0.65493932,0.35701442
386,12352,0.0014510678,0.67596227,0.14100358
387,12384,0.0014484094,0.57825926,0.21299332
388,12416,0.0014457474,0.6014542,0.29607478
389,12448,0.0014430819,0.6324985,0.38537383
390,12480,0.0014404128,0.67564303,0.10843938
391,12512,0.0014377403,0.61712581,0.18735135
392,12544,0.0014350643,0.65265435,0.31587872
393,12576,0.0014323848,0.64685297,0.17409152
394,12608,0.001429702,0.69931346,0.16460948
395,12640,0.0014270157,0.61827371,0.31655407
396,12672,0.0014243261,0.64272383,0.58873808
397,12704,0.0014216331,0.59323144,0.20467384
398,12736,0.0014189369,0.65369663,0.28408283
399,12768,0.0014162373,0.71636319,0.57052177
400,12800,0.0014135346,0.67682257,0.5909825
401,12832,0.0014108285,0.69991326,0.33601269
402,12864,0.0014081193,0.61572263,0.40260163
403,12896,0.001405407,0.60295129,0.67270952
404,12928,0.0014026915,0.66205105,0.24804635
405,12960,0.0013999729,0.64982796,0.73815411
406,12992,0.0013972512,0.63930815,0.44085833
407,13024,0.0013945264,0.69784522,1.1603513
408,13056,0.0013917986,0.66139579,0.69509065
409,13088,0.0013890678,0.66327596,0.19326754
410,13120,0.0013863341,0.6346544,0.13724799
411,13152,0.0013835974,0.65939924,0.35706529
412,13184,0.0013808578,0.61486617,0.72231841
413,13216,0.0013781153,0.63378927,0.67131501
414,13248,0.0013753699,0.64907748,0.45769843
415,13280,0.0013726218,0.69221628,0.48369199
416,13312,0.0013698708,0.65294123,0.15170541
417,13344,0.001367117,0.68452787,0.5302822
418,13376,0.0013643605,0.6153166,0.59749085
419,13408,0.0013616013,0.67991599,0.14749634
420,13440,0.0013588394,0.64301011,0.2248119
421,13472,0.0013560748,0.63075435,0.12046201
422,13504,0.0013533076,0.63808566,0.18681717
423,13536,0.0013505378,0.78450862,0.46239433
424,13568,0.0013477655,0.58635527,0.21059494
425,13600,0.0013449905,0.65593106,0.17935914
426,13632,0.0013422131,0.67735267,0.077830069
427,13664,0.0013394332,0.63686019,0.31771266
428,13696,0.0013366508,0.66465524,0.1503894
429,13728,0.0013338659,0.64200932,0.28921369
430,13760,0.0013310787,0.64514533,0.29140919
