step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69387966,0.055956583
2,64,0.0002,0.69278646,0.052414555
3,96,0.0003,0.69331303,0.050316975
4,128,0.0004,0.69188422,0.054746646
5,160,0.0005,0.69171897,0.058040839
6,192,0.0006,0.69077766,0.046574932
7,224,0.0007,0.69061619,0.034463398
8,256,0.0008,0.69009036,0.033991799
9,288,0.0009,0.69057196,0.039030332
10,320,0.001,0.69358861,0.054035723
11,352,0.0011,0.66514537,0.15668304
12,384,0.0012,0.70979267,0.17573604
13,416,0.0013,0.67352465,0.10761918
14,448,0.0014,0.67663088,0.12520477
15,480,0.0015,0.68335852,0.086639196
16,512,0.0016,0.68795735,0.096859537
17,544,0.0017,0.68621302,0.069134712
18,576,0.0018,0.68647376,0.074168377
19,608,0.0019,0.74050266,0.35216632
20,640,0.002,0.71091071,0.15558723
21,672,0.002,0.6672689,0.15549889
22,704,0.0019999954,0.67980334,0.095996298
23,736,0.0019999815,0.66550925,0.1705917
24,768,0.0019999584,0.67292076,0.09756802
25,800,0.001999926,0.70288903,0.20741323
26,832,0.0019998844,0.70519331,0.20397101
27,864,0.0019998335,0.67748725,0.08638218
28,896,0.0019997734,0.69245541,0.088325717
29,928,0.0019997041,0.68136901,0.088613905
30,960,0.0019996254,0.68375283,0.11693784
31,992,0.0019995376,0.66379386,0.13923864
32,1024,0.0019994405,0.68042022,0.064056642
33,1056,0.0019993342,0.66409427,0.15727779
34,1088,0.0019992186,0.67603612,0.21467672
35,1120,0.0019990938,0.68240583,0.10807146
36,1152,0.0019989597,0.66201174,0.14131106
37,1184,0.0019988164,0.68628016,0.099222824
38,1216,0.0019986639,0.70268068,0.14355084
39,1248,0.0019985021,0.65649775,0.10908011
40,1280,0.0019983311,0.68593344,0.089647964
41,1312,0.0019981509,0.66230166,0.23921195
42,1344,0.0019979614,0.68288714,0.22883363
43,1376,0.0019977627,0.64516371,0.2844398
44,1408,0.0019975548,0.61938855,0.21374716
45,1440,0.0019973376,0.66130301,0.36647347
46,1472,0.0019971113,0.64349079,0.26721358
47,1504,0.0019968757,0.68214345,0.52265376
48,1536,0.0019966309,0.64325461,0.40743718
49,1568,0.0019963769,0.67795119,0.56826437
50,1600,0.0019961136,0.65366006,0.62655467
51,1632,0.0019958412,0.68928787,0.35847077
52,1664,0.0019955596,0.68095869,0.535694
53,1696,0.0019952687,0.62617055,0.26667076
54,1728,0.0019949687,0.6477398,0.37471375
55,1760,0.0019946594,0.64551371,0.41952187
56,1792,0.001994341,0.63009536,0.19244514
57,1824,0.0019940134,0.70552191,0.418686
58,1856,0.0019936765,0.70578381,0.62782747
59,1888,0.0019933305,0.74473876,0.61823714
60,1920,0.0019929754,0.70110035,0.34917411
61,1952,0.001992611,0.67637506,0.26111132
62,1984,0.0019922375,0.62222517,0.529755
63,2016,0.0019918548,0.66205847,0.30224732
64,2048,0.0019914629,0.67455822,0.25214297
65,2080,0.0019910619,0.65052801,0.29939416
66,2112,0.0019906517,0.6113897,0.16639696
67,2144,0.0019902324,0.67881641,0.13679557
68,2176,0.0019898039,0.60429046,0.62063742
69,2208,0.0019893663,0.65548775,0.12439253
70,2240,0.0019889195,0.72245765,0.83139116
71,2272,0.0019884636,0.70211756,0.31114584
72,2304,0.0019879986,0.75267223,1.3806902
73,2336,0.0019875244,0.65408963,0.68655264
74,2368,0.0019870411,0.63792402,0.12646616
75,2400,0.0019865487,0.65829489,0.98281384
76,2432,0.0019860472,0.62009403,0.49287251
77,2464,0.0019855366,0.64690495,0.16721641
78,2496,0.0019850169,0.72385165,0.75991178
79,2528,0.0019844881,0.63873476,0.63291979
80,2560,0.0019839502,0.65293726,0.31802782
81,2592,0.0019834032,0.69413549,0.27473047
82,2624,0.0019828472,0.66391629,0.66764688
83,2656,0.0019822821,0.63401061,0.29186019
84,2688,0.0019817079,0.65657821,0.24706234
85,2720,0.0019811246,0.5998247,0.27700326
86,2752,0.0019805323,0.69744933,0.41797876
87,2784,0.0019799309,0.654975,0.48403275
88,2816,0.0019793205,0.65211469,0.45917103
89,2848,0.0019787011,0.67096457,0.094856627
90,2880,0.0019780726,0.69675863,0.63936818
91,2912,0.0019774351,0.73893896,0.42405146
92,2944,0.0019767886,0.69799027,0.34182036
93,2976,0.0019761331,0.69679576,0.11937869
94,3008,0.0019754686,0.68227768,0.46867532
95,3040,0.001974795,0.64691907,0.41938168
96,3072,0.0019741125,0.62813306,0.31218308
97,3104,0.001973421,0.64427394,0.27890405
98,3136,0.0019727206,0.7034145,0.42230269
99,3168,0.0019720111,0.66297877,0.39671823
100,3200,0.0019712927,0.65512466,0.23470177
101,3232,0.0019705654,0.70073503,0.18166956
102,3264,0.0019698291,0.69440445,0.45978236
103,3296,0.0019690838,0.61430421,0.45187742
104,3328,0.0019683297,0.68371844,0.41184244
105,3360,0.0019675666,0.71216306,0.37920097
106,3392,0.0019667946,0.67793375,0.43828908
107,3424,0.0019660136,0.64749223,0.34764028
108,3456,0.0019652238,0.7092686,0.18961006
109,3488,0.0019644251,0.67613018,0.094046377
110,3520,0.0019636175,0.67830062,0.35178643
111,3552,0.0019628011,0.65848935,0.23021883
112,3584,0.0019619757,0.67446342,0.29158133
113,3616,0.0019611415,0.67769563,0.12798998
114,3648,0.0019602985,0.65380338,0.22407444
115,3680,0.0019594466,0.67488065,0.30171952
116,3712,0.0019585859,0.64289463,0.32899654
117,3744,0.0019577164,0.60685056,0.31748506
118,3776,0.001956838,0.65671992,0.21199977
119,3808,0.0019559509,0.61502439,0.50187051
120,3840,0.0019550549,0.67898393,0.17467833
121,3872,0.0019541502,0.62360701,0.19580321
122,3904,0.0019532367,0.63624963,0.30449456
123,3936,0.0019523144,0.68098593,0.22033805
124,3968,0.0019513833,0.61992159,0.56464714
125,4000,0.0019504435,0.69284976,0.23378742
126,4032,0.001949495,0.64438209,0.52277911
127,4064,0.0019485377,0.65076602,0.58762646
128,4096,0.0019475718,0.58303219,0.27142566
129,4128,0.0019465971,0.68014091,0.19930275
130,4160,0.0019456137,0.69331622,0.69686484
131,4192,0.0019446216,0.71946716,0.47711891
132,4224,0.0019436208,0.63448015,0.14417596
133,4256,0.0019426114,0.77864468,0.74270481
134,4288,0.0019415933,0.68424845,0.50505114
135,4320,0.0019405666,0.66770646,0.22375998
136,4352,0.0019395312,0.64858425,0.21084689
137,4384,0.0019384872,0.59377089,0.42164683
