step,windows,learning_rate,loss,grad_norm
1,32,0.0001,0.69269323,0.073064663
2,64,0.0002,0.69355029,0.032361999
3,96,0.0003,0.69278118,0.050973676
4,128,0.0004,0.69212797,0.046581343
5,160,0.0005,0.69136381,0.041062828
6,192,0.0006,0.69253051,0.032484006
7,224,0.0007,0.69000208,0.048793823
8,256,0.0008,0.68922737,0.039910804
9,288,0.0009,0.68918958,0.041661188
10,320,0.001,0.69104195,0.040894512
11,352,0.0011,0.68090406,0.076479733
12,384,0.0012,0.68114769,0.069809429
13,416,0.0013,0.69380945,0.064281821
14,448,0.0014,0.6798124,0.058882125
15,480,0.0015,0.68808275,0.10253951
16,512,0.0016,0.67236882,0.079909563
17,544,0.0017,0.66596612,0.12308257
18,576,0.0018,0.66779268,0.18387996
19,608,0.0019,0.69080755,0.31537008
20,640,0.002,0.67323723,0.25862765
21,672,0.002,0.67145297,0.10558257
22,704,0.0019999954,0.70413309,0.32294908
23,736,0.0019999815,0.66513005,0.234943
24,768,0.0019999584,0.71114805,0.33032259
25,800,0.001999926,0.6941736,0.25678584
26,832,0.0019998844,0.70214942,0.2901127
27,864,0.0019998335,0.65320444,0.089679264
28,896,0.0019997734,0.72111702,0.51424569
29,928,0.0019997041,0.61358181,0.4638592
30,960,0.0019996254,0.66717136,0.077156387
31,992,0.0019995376,0.65661219,0.62011641
32,1024,0.0019994405,0.74431694,0.61451572
33,1056,0.0019993342,0.65563503,0.23739736
34,1088,0.0019992186,0.69243401,0.59420127
35,1120,0.0019990938,0.68094459,0.22040381
36,1152,0.0019989597,0.67715865,0.085992508
37,1184,0.0019988164,0.69553524,0.15678166
38,1216,0.0019986639,0.64819878,0.3695541
39,1248,0.0019985021,0.66615653,0.14469537
40,1280,0.0019983311,0.62384915,0.21483086
41,1312,0.0019981509,0.64893124,0.17631885
42,1344,0.0019979614,0.67109287,0.48445839
43,1376,0.0019977627,0.69421494,0.098816909
44,1408,0.0019975548,0.66684195,0.054961845
45,1440,0.0019973376,0.58589521,0.54417789
46,1472,0.0019971113,0.64971527,0.18787284
47,1504,0.0019968757,0.63971218,0.12842236
48,1536,0.0019966309,0.65447178,0.60999143
49,1568,0.0019963769,0.60401961,0.20452137
50,1600,0.0019961136,0.68219477,0.08949855
51,1632,0.0019958412,0.66635385,0.17865749
52,1664,0.0019955596,0.69100711,0.22315459
53,1696,0.0019952687,0.68922538,0.27617568
54,1728,0.0019949687,0.66703469,0.83348376
55,1760,0.0019946594,0.66701812,0.25222468
56,1792,0.001994341,0.65907788,0.6971491
57,1824,0.0019940134,0.60313866,0.57403231
58,1856,0.0019936765,0.60787529,0.29398182
59,1888,0.0019933305,0.67538947,0.64710134
60,1920,0.0019929754,0.60846651,0.17653528
61,1952,0.001992611,0.61173213,0.35240948
62,1984,0.0019922375,0.737405,0.2851094
63,2016,0.0019918548,0.68528461,0.73716819
64,2048,0.0019914629,0.61485404,0.53368992
65,2080,0.0019910619,0.69664851,0.53501719
66,2112,0.0019906517,0.7433545,0.84817874
67,2144,0.0019902324,0.57860565,0.27835333
68,2176,0.0019898039,0.58757567,0.93349403
69,2208,0.0019893663,0.68606505,0.7077105
70,2240,0.0019889195,0.59215438,0.17935415
71,2272,0.0019884636,0.53114358,0.73442125
72,2304,0.0019879986,0.67847717,0.72770226
73,2336,0.0019875244,0.68450129,0.77961457
74,2368,0.0019870411,0.66510475,0.43871319
75,2400,0.0019865487,0.64024866,1.3379329
76,2432,0.0019860472,0.62170264,1.0585628
77,2464,0.0019855366,0.61953551,0.15030131
78,2496,0.0019850169,0.77422208,0.86110914
79,2528,0.0019844881,0.62062031,0.70846587
80,2560,0.0019839502,0.7015717,0.27657643
81,2592,0.0019834032,0.67474964,0.32490891
82,2624,0.0019828472,0.65989956,0.09692689
83,2656,0.0019822821,0.68553942,0.50031483
84,2688,0.0019817079,0.68035877,0.16938479
85,2720,0.0019811246,0.67826378,0.2294725
86,2752,0.0019805323,0.61609051,0.11655995
87,2784,0.0019799309,0.62354994,0.34811723
88,2816,0.0019793205,0.66601649,0.16128434
89,2848,0.0019787011,0.69932976,0.63625467
90,2880,0.0019780726,0.62248695,0.098242946
91,2912,0.0019774351,0.62707254,0.63646662
92,2944,0.0019767886,0.58527747,0.38133794
93,2976,0.0019761331,0.62407434,0.21174097
94,3008,0.0019754686,0.59891728,0.17543888
95,3040,0.001974795,0.62353155,0.49285927
96,3072,0.0019741125,0.6573579,0.36727268
97,3104,0.001973421,0.67522901,0.24307774
98,3136,0.0019727206,0.77410567,0.62185001
99,3168,0.0019720111,0.63193142,0.29598981
100,3200,0.0019712927,0.62013111,0.1430483
101,3232,0.0019705654,0.66175067,0.44228676
102,3264,0.0019698291,0.71397179,0.27120364
103,3296,0.0019690838,0.62652048,0.27972564
104,3328,0.0019683297,0.64639917,0.2659547
105,3360,0.0019675666,0.57621959,0.22385363
106,3392,0.0019667946,0.6955685,0.73495984
107,3424,0.0019660136,0.57177448,0.53273773
108,3456,0.0019652238,0.73222643,0.4322558
109,3488,0.0019644251,0.60977739,0.26550376
110,3520,0.0019636175,0.6699608,0.63855439
111,3552,0.0019628011,0.66524154,0.19179243
112,3584,0.0019619757,0.59028712,0.16272655
113,3616,0.0019611415,0.55665052,0.49916238
114,3648,0.0019602985,0.68730876,0.2402205
115,3680,0.0019594466,0.70512879,0.59253156
116,3712,0.0019585859,0.6550602,0.19647664
117,3744,0.0019577164,0.70242876,0.51793355
118,3776,0.001956838,0.61251697,0.89047581
119,3808,0.0019559509,0.72119918,0.40871137
120,3840,0.0019550549,0.59536019,0.46563831
121,3872,0.0019541502,0.6541636,0.55986357
122,3904,0.0019532367,0.6399844,0.45969796
123,3936,0.0019523144,0.66520524,0.072504535
124,3968,0.0019513833,0.6668874,0.15122308
125,4000,0.0019504435,0.58450362,0.53305334
126,4032,0.001949495,0.6131199,0.35664877
127,4064,0.0019485377,0.59543931,0.25741884
128,4096,0.0019475718,0.67214695,0.225841
129,4128,0.0019465971,0.70779204,0.4638024
130,4160,0.0019456137,0.64893174,0.059889123
131,4192,0.0019446216,0.68697768,0.33803692
132,4224,0.0019436208,0.62377387,0.59015352
133,4256,0.0019426114,0.63980782,0.14973851
134,4288,0.0019415933,0.68164301,0.2501615
135,4320,0.0019405666,0.71930176,0.4312728
136,4352,0.0019395312,0.64797086,0.31499529
137,4384,0.0019384872,0.56642053,0.48740566
138,4416,0.0019374345,0.73902398,0.35308912
139,4448,0.0019363733,0.62605339,0.34237581
140,4480,0.0019353035,0.69161892,0.11887763
141,4512,0.0019342251,0.67617178,0.85433048
142,4544,0.0019331381,0.68116832,0.3028757
143,4576,0.0019320426,0.61648083,0.1010247
144,4608,0.0019309385,0.66884273,0.38353512
145,4640,0.0019298258,0.57559583,0.39066708
146,4672,0.0019287047,0.63919297,0.18012923
147,4704,0.001927575,0.65857494,0.23067582
148,4736,0.0019264368,0.62580997,0.16156888
149,4768,0.0019252901,0.58196586,0.24637198
150,4800,0.001924135,0.62201241,0.36424828
151,4832,0.0019229714,0.64804542,0.51513326
152,4864,0.0019217993,0.58407602,0.21439129
153,4896,0.0019206188,0.68129921,0.54762983
154,4928,0.0019194298,0.69739628,0.28172201
155,4960,0.0019182324,0.67171347,0.32265171
156,4992,0.0019170266,0.60220328,0.38974792
157,5024,0.0019158124,0.65068671,0.31829217
158,5056,0.0019145899,0.65527585,0.22647776
159,5088,0.0019133589,0.69285461,0.21295804
160,5120,0.0019121196,0.6307047,0.092824996
161,5152,0.001910872,0.62719968,0.46839947
162,5184,0.001909616,0.52602437,0.28217137
163,5216,0.0019083517,0.70917466,0.60389799
164,5248,0.0019070791,0.59442407,0.3843247
165,5280,0.0019057982,0.70709765,0.23371451
166,5312,0.001904509,0.63757271,0.64536732
167,5344,0.0019032116,0.61866286,0.97175741
168,5376,0.0019019059,0.66980997,0.14063373
169,5408,0.0019005919,0.68595803,0.40793011
170,5440,0.0018992698,0.63357762,0.98332733
171,5472,0.0018979394,0.67045748,1.1198214
172,5504,0.0018966008,0.7750006,0.36815014
173,5536,0.001895254,0.61667374,0.45670819
174,5568,0.0018938991,0.70816231,1.2039537
175,5600,0.001892536,0.68394005,0.57503492
176,5632,0.0018911647,0.62565118,0.19118986
177,5664,0.0018897854,0.60260332,0.23288527
178,5696,0.0018883979,0.64968273,0.55313939
179,5728,0.0018870023,0.68870699,0.60946214
180,5760,0.0018855986,0.56587213,0.29709736
181,5792,0.0018841868,0.64814052,0.54134065
182,5824,0.001882767,0.62011132,0.13448
183,5856,0.0018813392,0.63282925,0.17153595
184,5888,0.0018799033,0.66845697,0.67009759
185,5920,0.0018784594,0.60812414,0.57297868
186,5952,0.0018770075,0.66656578,0.32622737
187,5984,0.0018755476,0.56894192,0.28286758
188,6016,0.0018740797,0.65950382,0.46244004
189,6048,0.0018726039,0.71137339,0.33903778
190,6080,0.0018711202,0.65403235,0.42040771
191,6112,0.0018696285,0.75707227,0.55241859
192,6144,0.0018681289,0.64011496,0.54643631
193,6176,0.0018666214,0.70891625,0.19440725
194,6208,0.0018651061,0.69178492,0.29918945
195,6240,0.0018635828,0.66061282,0.12821834
196,6272,0.0018620518,0.67430764,0.4143647
197,6304,0.0018605129,0.6348792,0.3291806
198,6336,0.0018589662,0.64484,0.23462065
199,6368,0.0018574117,0.65234396,0.10995064
200,6400,0.0018558494,0.66735134,0.22893243
201,6432,0.0018542793,0.63195857,0.36170366
202,6464,0.0018527015,0.65205213,0.18524119
203,6496,0.0018511159,0.67291391,0.12602648
204,6528,0.0018495227,0.65149397,0.16194066
205,6560,0.0018479217,0.67223644,0.066604495
206,6592,0.001846313,0.76114476,0.32604954
207,6624,0.0018446967,0.59594873,0.29850674
208,6656,0.0018430727,0.68349081,0.18579204
209,6688,0.0018414411,0.61939475,0.3366822
210,6720,0.0018398019,0.66084203,0.054414868
211,6752,0.001838155,0.64334881,0.10209915
212,6784,0.0018365006,0.60226685,0.34524977
213,6816,0.0018348386,0.69904,0.37023482
214,6848,0.0018331691,0.69014376,0.24686372
215,6880,0.001831492,0.66439486,0.054364081
